answer,subject,choice_3,choice_2,choice_1,choice_0,question
1,high_school_microeconomics,قیمت میں یقینی کمی اور مقدار میں یقینی اضافہ,مقدار میں ایک یقینی کمی اور قیمت میں غیر متعین تبدیلی,مقدار میں ایک یقینی اضافہ اور قیمت میں غیر متعین تبدیلی,قیمت میں ایک یقینی اضافہ اور مقدار میں غیر متعین تبدیلی,اگر طلب اور رسد دونوں بڑھ جائیں تو نتیجہ نکلتا ہے۔
2,high_school_microeconomics,یہ مارکیٹ کی طلب وکر کے طور پر ایک ہی ہے,پیداوار کی تمام سطحوں پر قیمت اور معمولی آمدنی برابر ہیں۔,معمولی آمدنی پیداوار کی تمام سطحوں پر معمولی لاگت کے برابر ہے۔,اوسط آمدنی پیداوار کی تمام سطحوں پر قیمت سے کم ہے۔,مندرجہ ذیل میں سے کون سا بالکل مسابقتی فرم کی ڈیمانڈ وکر کی خصوصیت ہے؟
2,high_school_microeconomics,کمیشن مقرر کریں۔,فرم پر ٹیکس لگائیں۔,فرم یا اس کے صارفین کو سبسڈی دیں۔,اچھ پیدا کرنے والی فرم کو بند کریں۔,اگر کسی نجی سامان کی پیداوار کے ساتھ کوئی منفی خارجی تعلق وابستہ ہے، تو درج ذیل میں سے کون سی حکومت کی طرف سے ایسا اقدام ہے جو مارکیٹ کو ایک موثر نتائج کی طرف لے جائے گا؟
0,high_school_microeconomics,تمام کارکنوں اور آجروں کے لیے فائدہ مند,تمام کارکنوں اور آجروں کے لیے نقصان دہ,تمام کارکنوں کے لیے فائدہ مند اور کچھ آجروں کے لیے نقصان دہ,کچھ کارکنوں کے لیے فائدہ مند اور دوسرے کارکنوں کے لیے نقصان دہ,جب لیبر کی طلب کا وکر نیچے کی طرف ڈھلوان ہوتا ہے تو کم از کم اجرت میں اضافہ ہوتا ہے۔
3,high_school_microeconomics,بالکل افقی تقریب.,بالکل عمودی لائن.,دائیں طرف نیچے کی طرف ڈھلوان۔,دائیں طرف اوپر کی طرف ڈھلوان۔,کامل مسابقت کے تحت کام کرنے والی فرم کے لیے مانگ کا وکر ہے۔
2,high_school_microeconomics,لچک کا عددی گتانک ایک کے برابر ہے۔,مانگ کی قیمت کی لچک لچکدار ہے۔,مانگ کی قیمت کی لچک غیر لچکدار ہے۔,مانگ کی قیمت کی لچک یونٹ لچکدار ہے۔,اگر ایک فرم اپنی قیمتوں میں 15 فیصد کمی کرتی ہے اور اس کی کل آمدنی میں 30 فیصد اضافہ ہوتا ہے تو درج ذیل میں سے کون سا درست ہے؟
0,high_school_microeconomics,فراہمی کا اثر,معمولی اثر.,متبادل اثر.,آمدنی کا اثر,اگر کسی پروڈکٹ کی قیمت اس طرح کم ہو جاتی ہے کہ صارف اس میں سے زیادہ سے زیادہ اور دیگر مصنوعات خرید سکے تو اسے کہا جاتا ہے۔
2,high_school_microeconomics,مختصر مدت میں زیادہ لچکدار.,طویل مدت میں زیادہ لچکدار.,مختصر مدت میں بالکل افقی۔,طویل مدت میں بالکل عمودی.,عام طور پر، پروڈکٹ مارکیٹ میں کامل مسابقت کی شرائط کے تحت کام کرنے والی فرموں کی سپلائی وکر کی نشاندہی کی جائے گی۔
3,high_school_microeconomics,فراہمی لچکدار ہے,مطالبہ لچکدار ہے,مطالبہ غیر لچکدار ہے,سپلائی یونٹ لچکدار ہے,اگر قیمت میں 3 فیصد اضافہ سپلائی کی مقدار میں 5 فیصد اضافہ کا باعث بنتا ہے،
2,high_school_microeconomics,کل مقررہ لاگت آؤٹ پٹ کے ساتھ مختلف ہوتی ہے۔,اوسط کل لاگت اوسط مقررہ لاگت کے علاوہ اوسط متغیر اخراجات کے برابر ہے۔,اوسط کل لاگت معمولی لاگت کے علاوہ اوسط متغیر لاگت کے برابر ہے۔,اوسط کل لاگت معمولی لاگت کے علاوہ اوسط مقررہ لاگت کے برابر ہے۔,مندرجہ ذیل میں سے کون سا بیان درست ہے؟
