answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,nutrition,لومینل اور برش بارڈر انزائمز کے ذریعے غذائی پروٹین کے عمل انہضام کی مصنوعات صرف 14 مختلف امینو ایسڈ ٹرانسپورٹرز میں سے ایک کے ذریعے جذب ہوتی ہیں۔,گیسٹرک زیموجینک (چیف) خلیات chymotrypsin، elastase اور carboxypeptidase A پیدا کرتے اور خارج کرتے ہیں اور یہ پروٹین کے عمل انہضام کا آغاز کرتا ہے۔,اینٹرم کے پیسنے کے عمل کی وجہ سے تمام پروٹینوں کا گیسٹرک عمل انہضام یکساں طور پر موثر ہے۔,پروٹین کے عمل انہضام کی مصنوعات کو مفت امینو ایسڈ کے طور پر یا ڈائی- یا ٹریپپٹائڈس کے طور پر جذب کیا جاسکتا ہے۔,پروٹین ہضم اور جذب کے بارے میں کون سا بیان زیادہ درست ہے؟
2,nutrition,مندرجہ بالا میں سے کوئی بھی نہیں۔,1.100 گرام/سینٹی میٹر 3,0.730 گرام/سینٹی میٹر 3,0.900 گرام/سینٹی میٹر 3,چربی سے پاک ماس کی کثافت کتنی ہے؟
1,nutrition,آبادی کا گروپ جس میں بیماری کا سب سے زیادہ رشتہ دار خطرہ ہے۔,لوگوں کا ایک گروپ جو ایک مطالعہ میں حصہ لے رہا ہے جو ان کے لیے نقصان دہ ہو سکتا ہے۔,لوگوں کا وہ گروپ جو اس نتیجہ کا تجربہ کر سکتا ہے جس کا ہم مطالعہ کرنا چاہتے ہیں۔,آبادی کا تناسب جو خطرناک رویوں میں مشغول ہے۔,وبائی امراض کے تناظر میں، آبادی کو کیا خطرہ ہے؟
0,nutrition,فی الحال اس بارے میں کوئی سائنسی اتفاق رائے نہیں ہے کہ آیا موسمیاتی تبدیلی واقع ہو رہی ہے یا یہ اگلے 50 سالوں میں ہو گی۔,اس کا اثر مثبت ہوگا کیونکہ پودوں کی فوٹو سنتھیسز کے لیے زیادہ کاربن ڈائی آکسائیڈ دستیاب ہوگی۔,اس کا اثر مثبت ہو گا، کیونکہ خشک موسم کا مطلب ملیریا مچھروں کے لیے کم رہائش گاہ ہو گا، اس لیے کٹائی کے وقت کم کارکن بیمار ہوں گے۔,خشک سالی، طوفان اور سیلاب کی بڑھتی ہوئی تعدد کی وجہ سے زیادہ تر ترقی پذیر ممالک میں اس کے منفی اثرات مرتب ہوں گے۔,موسمیاتی تبدیلی مستقبل میں خوراک کی حفاظت کو کیسے متاثر کرے گی؟
2,nutrition,اوپر کا سارا,یہ چربی اور چربی سے پاک ماس کے درمیان فرق نہیں کرتا ہے۔,یہ اونچائی کے وزن کی میزوں سے زیادہ درست ہے۔,اوسط لوگوں کے لیے یہ درست پیمائش نہیں ہے۔,جسم کی چربی کی پیمائش کے طریقہ کار کے طور پر BMI (باڈی ماس انڈیکس) کو استعمال کرنے کی ایک بڑی حد کیا ہے؟
3,nutrition,وٹامن سی,رائبوفلاوین,نیاسین,بایوٹین,مندرجہ ذیل میں سے کون سا وٹامن کولیجن کی ترکیب میں ہائیڈرو آکسیلیشن رد عمل کے لیے کوفیکٹر فراہم کرتا ہے؟
3,nutrition,ورزش کے دوران انٹرماسکلر لپڈ کے استعمال میں اضافہ,ورزش کے دوران پٹھوں کے گلیکوجن کے استعمال میں اضافہ,جگر کے گلیکوجن مواد میں اضافہ,انٹرماسکلر لپڈ اسٹوریج کو کم کرنا,برداشت کی قسم کی ورزش کی تربیت ایندھن کے ذخیرہ اور سبسٹریٹ کے استعمال میں تبدیلی کرتی ہے۔ انکولی ردعمل میں شامل ہیں:
2,nutrition,وٹامن اے,وٹامن بی 12,فولیٹ,وٹامن بی 1,ویگن غذا میں کون سے وٹامنز کی کمی کا سب سے زیادہ امکان ہے؟
1,nutrition,نان ایسٹرائیڈ (مفت) فیٹی ایسڈ,کیٹون باڈیز,گلوکوز,الانائن,ایک 45 سالہ شخص سے خون کا نمونہ لیا جاتا ہے جب اس نے ٹوسٹ کے تین سلائس اور ایک ابلا ہوا انڈا کھا کر اپنا رات کا روزہ توڑ دیا تھا۔ اگر خون کا نمونہ ناشتے سے پہلے لیا گیا ہو تو درج ذیل میں سے کون سا زیادہ ارتکاز پر ہوگا؟
2,nutrition,قسم 2 موٹاپا سے متعلق ذیابیطس ایک بہت ہی نایاب مسئلہ ہے۔,لڑکیاں جسمانی طور پر اپنے جسم کی چربی کا فیصد بڑھاتی ہیں۔,چوٹی کی ہڈیوں کا ماس نمو میں تیزی ختم ہونے سے پہلے ہوتا ہے۔,دماغ کی نشوونما زندگی کے کسی بھی دوسرے مرحلے کے مقابلے میں تیز ہوتی ہے۔,جوانی میں:
