answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,abstract_algebra,6,12,8,4,18 کے ذریعہ تیار کردہ Z_24 کے چکراتی ذیلی گروپ میں ترتیب ہے۔
1,abstract_algebra,12,6,3,2,فیکٹر گروپ Z_6/<3> کی ترتیب تلاش کریں۔
0,abstract_algebra,جھوٹا، سچ,درست غلط,جھوٹا، جھوٹا۔,سچ ہے، سچ ہے۔,بیان 1 | ایک ترتیب جو m even permutations اور n odd permutations کی پیداوار ہے اگر اور صرف اس صورت میں جب n برابر ہو۔ بیان 2 | ہر گروپ ترتیب کے ایک گروپ کے لیے isomorphic ہے۔
2,abstract_algebra,12,4,3,2,فیکٹر گروپ کی ترتیب تلاش کریں (Z_4 x Z_12)/(<2> x <2>)
2,abstract_algebra,24,12,6,4,Z_4 x Z_6 کے کچھ عنصر کے لیے زیادہ سے زیادہ ممکنہ آرڈر تلاش کریں۔
3,abstract_algebra,جھوٹا، سچ,درست غلط,جھوٹا، جھوٹا۔,سچ ہے، سچ ہے۔,بیان 1 | ہم آہنگی گروپ S_3 چکری ہے۔ بیان 2 | ہر گروپ کسی نہ کسی گروپ کے مطابق تبدیلیوں کے لیے isomorphic ہے۔
1,abstract_algebra,جھوٹا، سچ,درست غلط,جھوٹا، جھوٹا۔,سچ ہے، سچ ہے۔,"بیان 1 | اگر a اور b ابیلیان گروپ میں محدود ترتیب کے عناصر ہیں، تو |ab| lcm (|a|,|b|) ہے۔ بیان 2 | اگر g ایک گروپ عنصر ہے اور g^n = e، تو |g| = n."
3,abstract_algebra,جھوٹا، سچ,درست غلط,جھوٹا، جھوٹا۔,سچ ہے، سچ ہے۔,بیان 1 | اگر f G سے K تک ہومومورفزم ہے اور G میں H نارمل ہے تو F (H) K میں نارمل ہے۔ بیان 2 | اگر f G سے ایک گروپ تک ہومومورفزم ہے اور H G کا محدود ذیلی گروپ ہے، تو |f(H)| تقسیم کرتا ہے |H|
1,abstract_algebra,105,30,12,6,n = 7 کے لیے S_n کے عنصر کے لیے زیادہ سے زیادہ ممکنہ ترتیب تلاش کریں۔
2,abstract_algebra,جھوٹا، سچ,درست غلط,جھوٹا، جھوٹا۔,سچ ہے، سچ ہے۔,بیان 1 | ہر انٹیگرل ڈومین میں کوٹینٹ کا ایک فیلڈ ہوتا ہے۔ بیان 2 | ایک انگوٹھی کے اوپر ڈگری n کا کثیر الاضلاع زیادہ سے زیادہ n زیرو گنتی ضرب ہو سکتا ہے۔
1,abstract_algebra,جھوٹا، سچ,درست غلط,جھوٹا، جھوٹا۔,سچ ہے، سچ ہے۔,بیان 1 | اگر کسی گروپ میں آرڈر 10 کا عنصر ہے، تو آرڈر 10 کے عناصر کی تعداد 4 سے قابل تقسیم ہے۔ بیان 2 | اگر m اور n مثبت عدد ہیں اور phi Euler phi فنکشن ہے تو phi(mn) = phi(m)phi(n)۔
3,anatomy,ہومیوسٹاسس,رواداری,کیٹابولزم,انابولزم,مندرجہ ذیل میں سے کون سی اصطلاح جسم کی اپنی نارمل حالت کو برقرار رکھنے کی صلاحیت کو بیان کرتی ہے؟
