answer,subject,choice_3,choice_2,choice_1,choice_0,question
1,moral_disputes,"""دہشت گردی"" کو اندھا دھند تشدد سے تعبیر کیا جانا چاہیے۔",جنگجو اور غیر جنگجو کے درمیان فرق واضح اور واضح ہے۔,جنگجو اور غیر جنگجو کے درمیان فرق ڈگری کا معاملہ ہے۔,جنگجو اور غیر جنگجو کے درمیان کوئی فرق نہیں ہے۔,جنگ میں امتیازی سلوک کے بارے میں اپنی گفتگو میں، والس نے یہ تجویز کیا ہے۔
2,moral_disputes,اصل عدم مساوات کو ہر ممکن حد تک چھوٹا رکھنا,اظہار رائے کی آزادی,مساوی موقع,لوگوں کی اپنے منصوبوں کو آگے بڑھانے کی صلاحیت,کیرنز کے مطابق، مندرجہ ذیل میں سے کون نہیں ہے، جو تمام لبرل مساوات پسندوں کے لیے تشویش کا باعث ہے؟
1,moral_disputes,اوپر کا سارا۔,عکاس استدلال,تنقیدی استدلال,جذباتی استدلال.,Lukianoff اور Haidt کا کہنا ہے کہ امریکی کالج اور یونیورسٹیاں اب حوصلہ افزائی کرتی ہیں۔
1,moral_disputes,یہ معلوم کرنے کی صلاحیت کہ خدا کیا چاہتا ہے۔,دانشورانہ علم.,احساس اور عمل میں غلو سے بچنے کا مزاج۔,اپنے غصے پر قابو پانے کی صلاحیت۔,ارسطو فضیلت کی تعریف اس طرح کرتا ہے۔
3,moral_disputes,دشمنی کو اس کے حقیقی مقصد کی طرف لے جانا چاہئے۔,سرے ذرائع کا جواز پیش کرتے ہیں۔,ایک پیشین گوئی لیکن غیر ارادی عمل کے نتیجے میں نقصان پہنچانا جائز ہے۔,انسانوں کو زندگی گزارنے کا حق ہے۔,ناگیل کا خیال ہے کہ مطلق العنان پوزیشن کا بنیادی مقصد یہ ہے۔
0,moral_disputes,اوپر کا سارا,کم از کم چھ فٹ لمبا ہونا (ایسی آبادی میں جہاں یہ اوسط ہے),کم از کم 150 کا IQ ہونا (ایسی آبادی میں جہاں یہ اوسط ہے),کم از کم چھ فٹ لمبا ہونا (ایسی آبادی میں جہاں یہ اوسط سے زیادہ ہے),"پیٹر سنگر کی تعریف کے مطابق مندرجہ ذیل میں سے کون سا ""پوزیشنل اچھا"" ہے؟"
1,moral_disputes,اخلاقیات,حقوق پر مبنی نظریہ,قدرتی قانون کا نظریہ,نتیجہ خیزی,Aquinas کی اخلاقی تھیوری کا ایک ورژن ہے۔
0,moral_disputes,مندرجہ بالا میں سے کوئی نہیں,انصاف کی اسقاط حمل ناگزیر اور غیر متعلقہ ہیں۔,اعتراض میں استعمال ہونے والے معنوں میں انصاف کی کوئی خرابی نہیں ہوئی ہے۔,انصاف کے اسقاط کو انصاف کرنے کے اخلاقی فوائد اور افادیت سے پورا کیا جاتا ہے۔,"وان ڈین ہاگ نے یہ دعویٰ کرتے ہوئے ""انصاف کے اسقاط حمل"" کے اعتراض کا جواب دیا۔"
1,moral_disputes,مندرجہ بالا میں سے کوئی نہیں,اگر کوئی مشق متبادل سے زیادہ محفوظ ہے، تو وہ عمل غیر اخلاقی، غیر اخلاقی، یا دوسری صورت میں اس سے گریز کرنا ہے۔,اگر کوئی پریکٹس متبادل کے مقابلے میں خطرناک ہے، تو وہ عمل غیر اخلاقی، غیر دانشمندانہ ہے، یا دوسری صورت میں اس سے گریز کرنا چاہیے۔,اگر کوئی پریکٹس متبادل سے زیادہ خطرناک ہے، تو وہ عمل اخلاقی، ہوشیار ہے، یا بصورت دیگر اس کی پیروی کی جائے۔,"کوروینو مندرجہ ذیل میں سے کس کو ہم جنس پرستی کے خلاف نقصان دہ دلائل کا ایک مشکل ""پوشیدہ مفروضہ"" مانتا ہے؟"
2,moral_disputes,نہ اے نہ بی,A اور B دونوں,ماں یا باپ کے خلیات کے برعکس، ان کی نشوونما بقا اور پختگی کی طرف ہوتی ہے۔,وہ مکمل حیاتیات ہیں جو جینیاتی طور پر انسان ہیں۔,پیٹرک لی اور رابرٹ جارج کا کہنا ہے کہ انسانی جنین مکمل انسان ہیں کیونکہ
