answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,sociology,اپنے آپ کو موثر طریقے سے چلانے کے لیے کم مائل، کیونکہ صحت کی دیکھ بھال کی مانگ گر رہی تھی۔,صحت کے حکام اور نجی صحت کی دیکھ بھال فراہم کرنے والوں سے تیزی سے لاتعلقی,ریاست کے زیر کنٹرول فراہم کنندگان، مرکزی حکومت کی جانب سے فنڈنگ ​​پر منحصر ہیں۔,صحت کے حکام سے معاہدوں کی خریداری کے لیے مقابلہ کرنے والے سیلف گورننگ ٹرسٹ,نیشنل ہیلتھ سروس کی 1990 کی اصلاحات میں، ہسپتال بن گئے:
3,sociology,اوپر کا سارا,پولیس کی کارکردگی کو جانچنے کے لیے مارکیٹ ڈسپلن کا تعارف,نجی جیلوں کی عمارت,نجی سیکورٹی کمپنیوں کی توسیع,1980 اور 1990 کی دہائیوں میں امن و امان کی نجکاری کی گئی تھی:
0,sociology,لڑکوں اور لڑکیوں کی تعلیمی کامیابیاں حال ہی میں ایک جیسی ہو گئی ہیں۔,جو بچے بہت سارے خط لکھتے ہیں وہ زبان کی بہتر گرفت پیدا کرتے ہیں۔,اساتذہ اور والدین سیکھنے کے لیے یکساں رویہ رکھتے ہیں۔,اسکول بچوں کو فرمانبردار ہونا سکھا کر کام کے لیے تیار کرتے ہیں۔,'خط و کتابت کا اصول' (Bowles & Gintis) تجویز کرتا ہے کہ:
1,sociology,اعلی اور متوسط ​​طبقے نے عوامی جگہوں پر غلبہ حاصل کیا، جبکہ محنت کش طبقے کے لوگ زیادہ گھر پر مرکوز تھے۔,متوسط ​​طبقہ دیہی علاقوں میں رہتا تھا جبکہ محنت کش طبقہ شہر میں رہتا تھا۔,اندرون شہروں میں محنت کش طبقے کی جماعتیں بنیں، جب کہ متوسط ​​طبقے مضافات میں چلے گئے۔,متوسط ​​طبقے کے مالک قابضین نرمی کے ذریعے اندرون شہر منتقل ہو گئے۔,بیسویں صدی کے وسط برطانیہ میں طبقاتی علیحدگی اس طرح ظاہر ہوئی تھی:
2,sociology,کس طرح کسی کا خود کا تصور کسی کی جسمانی شکل سے بہت زیادہ متاثر ہوتا ہے۔,کس طرح کسی کا خود کا تصور اس کے اس تصور پر مبنی ہے کہ دوسرے اسے کیسے دیکھتے ہیں۔,خود کو دوسروں کی طرح دیکھنے میں جو مشکل پیش آتی ہے۔,جس انداز میں چھوٹے بچوں کو یہ احساس ہوتا ہے کہ ان کی ایک الگ شناخت ہے۔,چارلس کولے کا نظریہ نظریہ شیشے کی خود پر زور دیتا ہے۔
3,sociology,تمام جنسیات تکثیری، بکھرے ہوئے اور کثرت سے تعمیر شدہ ہیں۔,مردانگی کی منحرف شکلوں کو نسوانیت کی منحرف شکلوں سے زیادہ صنفی ترتیب کے لیے زیادہ خطرہ کے طور پر دیکھا جاتا ہے۔,جنسی زمرے اور گفتگو جو ہم استعمال کرتے ہیں وہ حقیقی، بنیادی حیاتیاتی اختلافات پر مبنی ہیں۔,ہم جنس پرستی ایک عام اور انتہائی مطلوبہ طریقہ ہے۔,کوئیر تھیوری یہ دعویٰ کرتی ہے کہ:
3,sociology,ایک ریاستی اشرافیہ جس کے ممبران طاقت کے بلاک سے بہت زیادہ کھینچے گئے ہیں۔,مشترکہ مفادات کے ساتھ طبقات کی صف بندی لیکن ریاستی طاقت نہیں۔,ایک سرمایہ دار طبقہ جو جائیداد کی ملکیت اور فائدہ مند زندگی کے مواقع پر منحصر ہے۔,حکمران طبقہ، یا بورژوازی، جو پرولتاریہ کا استحصال کرتے ہیں۔,سکاٹ (1991) نے 'طاقت اشرافیہ' کی اصطلاح کو بیان کرنے کے لیے متعارف کرایا:
2,sociology,سروے انتظامیہ,شریک مشاہدہ,ثانوی ڈیٹا کا تجزیہ,تجربہ,ایک ماہر عمرانیات مقامی ہسپتال میں ادارہ جاتی طاقت کے تعلقات پر تحقیق کر رہا ہے۔ ماہر عمرانیات ہسپتال میں کئی ہفتوں سے عملہ پر ہے، ڈیٹا کو فیلڈ نوٹس کے طور پر ریکارڈ کر رہا ہے۔ یہ طریقہ تحقیق کہلاتا ہے۔
3,sociology,اس بات کی ایک تصویر کہ وسیع تر معاشرے میں لوگ ہمارے رویے کو کیسے سمجھ سکتے ہیں۔,ابتدائی بچپن میں ایک اہم شخصیت جو ہمیں معاشرے کی عمومی اقدار سکھاتی ہے۔,خود کا مجموعی تاثر کہ ہم دوسروں کو دینے کی کوشش کرتے ہیں۔,معاشرے کے ساختی نظریات کا وہ گروہ جس کے خلاف وہ رد عمل ظاہر کر رہا تھا۔,علامتی تعامل پسند نظریہ میں، میڈ نے 'عمومی دوسرے' کی تعریف یوں کی:
2,sociology,ان کے مرد پارٹنرز ان پر سپر ماڈل کی طرح نظر آنے کے لیے دباؤ ڈالتے ہیں۔,وہ ثقافتی آئیڈیل کے سلسلے میں اپنے جسم کے ایک حصے کو بدنما سمجھتے ہیں۔,وہ 'کامل' جسم کے تعاقب میں ہیں، جو خوبصورتی کی تصویروں سے بھرے ہوئے ہیں۔,ان میں غیر موثر ہونے کا گہرا احساس ہے اور وہ کنٹرول کے لیے کوشاں ہیں۔,ڈیوس (1995) کے مطابق، خواتین کاسمیٹک سرجری حاصل کر سکتی ہیں کیونکہ:
3,sociology,اوپر کا سارا,ایک دوسرے اور عام طور پر انسانیت,پیداوار کے عمل,وہ مصنوعات جو وہ بنا رہے تھے۔,مارکس (1844) نے دعویٰ کیا کہ سرمایہ داری نے مزدوروں کو اس سے الگ کر دیا ہے:
3,sociology,اوپر کا سارا,اہم مذاہب کی اخلاقی تعلیمات نسبتاً ایک جیسی ہوتی جا رہی تھیں۔,مرکزی دھارے کے عقائد قومی شناخت کے ساتھ تیزی سے پہچانے جا رہے تھے۔,نسلی اقلیتوں نے ثقافت میں سماجی قبولیت حاصل کرنے کے لیے مذہب پر عمل کیا۔,ہربرگ کے (1955) امریکہ میں مذہب کے مطالعہ نے تجویز کیا کہ:
3,sociology,کرداروں اور اداروں کا ایک معیاری فریم ورک,سماجی تعلقات کا ایک غیر مستحکم ڈھانچہ,تنازعات، عدم مساوات اور بیگانگی کا ایک ذریعہ,مائیکرو لیول پر تعامل کا ایک پیچیدہ نیٹ ورک,ساختی فنکشنلسٹ معاشرے کو اس طرح بیان کرتے ہیں:
0,sociology,33.20%,18.60%,27.50%,30.70%,بوتھ کے (1901) کے مطالعے سے پتہ چلتا ہے کہ لندن میں غربت کی زندگی گزارنے والے لوگوں کا فیصد یہ تھا:
2,sociology,متوسط ​​طبقے میں جانے کی اجتماعی خواہشات,مقامی کمیونٹیز، توسیعی رشتہ داری کے نیٹ ورکس اور مشترکہ تفریحی سرگرمیاں,پرولتاریہ کے ارکان کا طبقاتی شعور,مینوفیکچرنگ انڈسٹری میں مشترکہ کام کرنے کے حالات,روایتی محنت کش طبقے کی شناخت اس پر مبنی تھی:
3,sociology,وہ ایک چھوٹے سے الفاظ کے ساتھ مختصر، سادہ جملے شامل کرتے تھے۔,انہوں نے بچوں کو اپنے ہم عمر گروپوں سے باہر بات چیت کرنے سے روک دیا۔,انہوں نے واضح، سیاق و سباق سے آزاد معنی کا حوالہ دیا۔,تقریر کے اس انداز نے انہیں غنڈہ گردی کا نشانہ بنایا,برنسٹین کا خیال تھا کہ اسکول میں زبان کے پسماندہ طلباء کے 'محدود کوڈز' کا استعمال اس لیے کہ:
1,sociology,ٹیلی ویژن دیکھنے کی تفریحی سرگرمی کے ساتھ غیر دستی کام کو جوڑنا,مقامی نیٹ ورک کے اندر بچوں کی دیکھ بھال اور دیگر ملازمتیں، غیر رسمی معیشت کے ذریعے,انفارمیشن ٹیکنالوجی کا استعمال کرتے ہوئے، باہر کے آجر کے لیے گھر پر کام کرنا,ٹیلی فون ہیلپ لائنز یا ہاٹ لائنز کے ذریعے اپنا کاروبار چلانا,ٹیلی ورک ملازمت کی ایک شکل ہے جس میں شامل ہیں:
2,sociology,وہ 'میٹروپول' جن سے 'سیٹیلائٹ' ممالک منسلک تھے۔,معاشی طور پر ان دولت مند ممالک پر منحصر ہے جنہوں نے ان کا استحصال کیا۔,اپنے روایتی طرز زندگی کو ترک کرنے سے گریزاں ہیں۔,بین الاقوامی سرمایہ دارانہ معیشت میں ناکافی طور پر شامل ہے۔,فرینک (1967) نے دعویٰ کیا کہ 'کم ترقی یافتہ' معاشرے یہ ہیں:
0,sociology,کمیونسٹ معاشرے مختلف سیاسی جماعتوں کے درمیان طاقت کو منتشر کرتے ہیں۔,جدید صنعتی ٹیکنالوجی مطلق العنان حکومتوں کی طاقت کو مضبوط کرتی ہے۔,جمہوری حکومتیں حکمران اشرافیہ کے مفادات کی تکمیل کرتی ہیں۔,مطلق العنان حکومتیں جدید صنعتی ٹیکنالوجی کے تقاضوں سے مطابقت نہیں رکھتیں۔,سابق سوویت یونین کا کیس کیر ایٹ ال کے (1960) کے دعوے کی حمایت کرتا ہے کہ:
0,sociology,انٹرنیٹ پر 'ورچوئل کمیونٹیز' کی کمی,زیادہ سے زیادہ لوگ تفریحی سرگرمی کے طور پر سنیما جا رہے ہیں۔,مشترکہ وسائل کے طور پر اخبارات کی عوامی ملکیت,بڑے پیمانے پر پیداوار، بڑے پیمانے پر گردش، اور سنجیدہ مواد کی کمی,انیسویں صدی کے پرنٹ انقلاب کے نتیجے میں:
1,sociology,علم کی صنفی نوعیت کو نظر انداز کرنے کا رجحان,خواتین کی زندگیوں میں فرق اور تنوع کی پہچان,خواتین کے نقطہ نظر سے معاشرے کا مطالعہ,حقوق نسواں کی طرف سے نظر انداز کیے گئے مسائل پر موقف اختیار کرنا,اصطلاح 'نسائی نقطہ نظر' سے پتہ چلتا ہے:
2,sociology,یہ متعدد مختلف کیسوں سے نتائج کا موازنہ کرتا ہے۔,یہ ایک اندرونی نقطہ نظر سے امیر، تفصیلی اکاؤنٹس کا پردہ فاش کرتا ہے۔,یہ کئی سالوں کی مدت میں منعقد کیا جاتا ہے,نتائج شماریاتی تجزیہ کے قابل ہیں۔,ایتھنوگرافک ریسرچ معیاری ڈیٹا تیار کرتی ہے کیونکہ:
1,sociology,لوگ سائنس اور ٹیکنالوجی پر زیادہ یقین کرنے لگے,چرچ میں حاضری 15 فیصد سے کم,ایک سوشلسٹ انقلاب نے سرمایہ دارانہ نظریے کی ضرورت کو ختم کردیا۔,اخلاقی انفرادیت کا ایک نیا رجحان قائم ہوا۔,مارکس نے اعلان کیا کہ مذہب اس وقت ختم ہو جائے گا جب:
1,sociology,سماجی تعلقات کو قومی سرحدوں سے آگے بڑھانا,مواصلاتی ٹیکنالوجی کے ذریعے فاصلے کی تباہی,قومی ریاستوں کی توسیع شدہ طاقت,پوری دنیا کے بارے میں بڑھتی ہوئی بیداری,مندرجہ ذیل میں سے کون سا گلوبلائزیشن کی خصوصیت نہیں ہے؟
2,sociology,افقی نقل و حرکت,عمودی نقل و حرکت,نسبتا غربت,مطلق غربت,کوئی ایسا شخص جو اپنی پیدائش سے زیادہ اعلی (یا کم) سماجی مقام حاصل کرتا ہے اس نے تجربہ کیا ہے۔
2,sociology,پھنسے ہوئے سوالات,اہم سوالات,مختصر سوالات,مقررہ انتخاب کے سوالات,ایک سروے کو پوچھنے سے گریز کرنا چاہئے:
1,sociology,انحصار کا نظریہ,صنعتی نظریہ,جدیدیت کا نظریہ,ویسٹرنائزیشن تھیوری,ترقی کا نظریہ جو یہ بتاتا ہے کہ معاشرے روایتی سے جدید، صنعتی تنظیم کی شکلیں کہلاتے ہیں:
3,sociology,پیشہ,زبانی روانی,آمدنی,عمر,جدید معاشروں میں، سماجی حیثیت کو عام طور پر کسی شخص کی طرف سے ماپا جاتا ہے:
2,sociology,یہ موضوعی اور متعصب ہے۔,اس کا علم بہت سے مختلف تحقیقی سیاق و سباق سے جمع ہوتا ہے۔,یہ دنیا کے طریقے اور اسے ہونے کے طریقے کے درمیان بہت کم فرق کرتا ہے۔,یہ محققین کے اپنے تجربات پر مرکوز ہے۔,سوشیالوجی عام فہم سے اس میں مختلف ہے:
0,sociology,روایتی معاشرے کے مقاصد اور ذرائع دونوں کو مسترد کرتے ہیں اور یوٹوپیائی متبادل فراہم کرتے ہیں۔,مرکزی دھارے کی سماجی اقدار کے بارے میں ہلکی سی ناپسندیدگی کا رویہ اختیار کریں۔,گرجا گھروں کی تعلیمات میں کسی بھی معنی خیز مذہبی مواد کے ضائع ہونے کے خلاف ردِ عمل,روایتی ثقافتی اقدار کو اپناتے ہیں لیکن ان کے حصول کے نئے ذرائع پیش کرتے ہیں۔,عالمی تصدیق کرنے والے مذاہب:
