answer,subject,choice_3,choice_2,choice_1,choice_0,question
1,professional_psychology,استعمال کرنا آسان اور تیز ہے، کیونکہ صرف دو انتخاب دستیاب ہیں۔,زیادہ معروضی ہے، کیونکہ یہ ملازم کی طاقتوں اور کمزوریوں سے نمٹتا نہیں ہے۔,درجہ بندی کی وشوسنییتا کو بڑھاتا ہے۔,ipsative پیمائش کے بارے میں شماریاتی خدشات کو ختم کرتا ہے۔,کارکردگی کی تشخیص میں درجہ بندی کی خصوصیات کی جبری انتخاب کی تقسیم کا بنیادی فائدہ یہ ہے کہ یہ
2,professional_psychology,اخلاقی طور پر اس وقت تک کام کرنا جب تک کہ وہ مارلا کے ساتھ جنسی طور پر ملوث نہیں ہوتا ہے جب تک کہ وہ یونیورسٹی سے وابستہ نہ ہو۔,اخلاقی طور پر کام کرنا جب تک کہ مارلا سائیکالوجی ڈیپارٹمنٹ کے علاوہ کسی اور ڈیپارٹمنٹ میں طالب علم ہے اور سائیکالوجی ڈیپارٹمنٹ میں کوئی کلاس نہیں لے رہی ہوگی۔,اخلاقی طور پر کام کرنا کیونکہ وہ وہ نہیں ہے جس نے ممکنہ رشتہ شروع کیا ہو۔,واضح طور پر اخلاقی ہدایات کی خلاف ورزی۔,ڈاکٹر کارل کارلسن ایک لائسنس یافتہ ماہر نفسیات اور ایک بڑی یونیورسٹی کے شعبہ نفسیات میں پروفیسر ہیں۔ اس سے ایک گریجویٹ طالب علم، مارلا ایم، عمر 36، نے اس سے رابطہ کیا، جو اس سے پوچھتا ہے کہ کیا وہ جمعہ کی رات بیس بال کے کھیل میں شرکت کرنا چاہیں گے۔ ڈاکٹر کارلسن طلاق یافتہ ہے اور اسے مارلا کو بہت پرکشش عورت معلوم ہوتی ہے۔ اخلاقی رہنما خطوط کے لحاظ سے، اگر ڈاکٹر کارلسن مارلا کی دعوت قبول کرتے ہیں، تو وہ یہ ہوں گے:
1,professional_psychology,تفتیش شدہ آبادی میں ڈیٹا وقفہ پیمانے کی ضروریات کو پورا کرنے کے لیے جانا جاتا ہے۔,تفتیش شدہ آبادی میں ڈیٹا مسلسل متغیر کی نمائندگی کرتا ہے۔,تفتیش شدہ آبادی میں اسکور کی تقسیم کی شکل معلوم نہیں ہے۔,الفا کی ایک مقررہ قیمت کے لیے سب سے طاقتور شماریاتی ٹیسٹ کی کوشش کی جاتی ہے۔,پیرامیٹرک اعدادوشمار کے بجائے نان پیرامیٹرک اعدادوشمار کا استعمال کیا جانا چاہئے جب
2,professional_psychology,"""دکھایا کہ ""مرکزی خصائص"""" کا تاثر کی تشکیل پر دیگر خصلتوں سے زیادہ اثر ہوتا ہے۔""",نے ظاہر کیا کہ ماحول اس پر اثر انداز ہوتا ہے کہ کسی شخص کے رویے کو کیسے سمجھا جاتا ہے۔,ظاہر کیا کہ کسی شخص پر لیبل لگانے سے اس شخص کے رویے میں تبدیلی آتی ہے۔,اس بات کی تصدیق کی کہ تحقیقی مطالعہ میں شرکت تحقیق کے شرکاء کے رویے کو بدل دیتی ہے۔,"""Rosenhan کی تحقیق جس میں ""pseudopatients"" شامل تھے جو نفسیاتی ہسپتالوں میں داخل تھے:"""
0,professional_psychology,مجموعی,خمیدہ,نان لائنیئر,لکیری,جب ہم کسی ٹیسٹ میں غلطیوں کی کل تعداد کو فیصد درست میں تبدیل کرتے ہیں، یا اس کے برعکس، ہم کس قسم کی تبدیلی انجام دے رہے ہیں
3,professional_psychology,ایک y-انٹرسیپٹ اور تین ریگریشن گتانک,ایک ریگریشن گتانک اور تین y-انٹرسیپٹس,چار ریگریشن گتانک,ایک y-انٹرسیپٹ اور ایک ریگریشن گتانک,(a) والدین کے حکموں کی تاثیر، (b) والدین کے نظم و ضبط کی مستقل مزاجی، اور (c) والدین کی گرمجوشی سے غصے کی تعدد کی پیشن گوئی کرنے والا رجعت کا نمونہ، اس کے ساتھ ایک ماڈل کا نتیجہ ہوگا:
0,professional_psychology,پیشین گوئی کرنے والوں اور کسوٹی کے درمیان ایک اعلی (اہم) تعلق ہے۔,پیشین گوئی کرنے والوں اور کسوٹی کے درمیان کم تعلق ہے۔,معیار کے اقدامات ایک دوسرے کے ساتھ انتہائی مربوط ہیں۔,پیشن گوئی کرنے والے ایک دوسرے کے ساتھ بہت زیادہ مربوط ہیں۔,ایک سے زیادہ رجعت کا استعمال کرتے وقت، ملٹی کولینیرٹی اس وقت ہوتی ہے جب:
3,professional_psychology,ہرمن کو مناسب حوالہ جات فراہم کریں۔,ہرمن کو علاج میں دیکھیں جب تک کہ اس کا موجودہ بحران ختم نہ ہو جائے اور پھر اگر ضروری ہو تو حوالہ دیں۔,ہرمن کے ساتھ سیاسی نظریات میں فرق پر تب ہی بات کریں جب وہ سائیکو تھراپی کے عمل سے متعلق ہوں۔,علاج کے دوران کسی دوسرے ماہر نفسیات سے مشورہ کریں تاکہ یہ یقینی بنایا جا سکے کہ آپ کے جذبات آپ کی معروضیت میں مداخلت نہ کریں۔,"آپ کو 28 سال کی عمر کے ہرمن ایچ کی طرف سے ایک فون کال موصول ہوئی، جو کہتا ہے کہ وہ اپنی گرل فرینڈ کے ساتھ حالیہ بریک اپ کی وجہ سے ""مکمل طور پر دکھی"" ہے اور وہ آپ کے ساتھ علاج شروع کرنا چاہتا ہے۔ ہرمن کے ساتھ پہلے سیشن کے دوران، آپ کو پتا چلا کہ اس کے سیاسی خیالات آپ کے لیے مکمل طور پر ناگوار ہیں، اور آپ کو لگتا ہے کہ آپ اس کے ساتھ کام کرنے سے لطف اندوز نہیں ہوں گے۔ ایک اخلاقی ماہر نفسیات کے طور پر، آپ کو:"
3,professional_psychology,ایسا کرنے سے انہیں اپنی ذاتی ضروریات پوری کرنے میں مدد ملتی ہے۔,ایسا کرنے سے انہیں سزا سے بچنے میں مدد ملتی ہے۔,"""""""باقی سب کر رہے ہیں۔""""""",وہ محسوس کرتے ہیں کہ قواعد و ضوابط کو برقرار رکھنا ان کا ذاتی فرض ہے۔,کوہلبرگ کی اخلاقی ترقی کے پہلے سے روایتی سطح کے دوسرے مرحلے کے دوران، بچے قواعد کی پابندی کرتے ہیں کیونکہ:
1,professional_psychology,موزونیت کا خطرہ بنائیں,Covariate,ثالث,ناظم,اگر کسی محقق نے مؤکل کی حوصلہ افزائی کو بڑھانے کے لیے ایک مختصر حوصلہ افزا انٹرویو کی مداخلت کو اس امید پر نافذ کیا کہ حوصلہ افزائی میں اضافہ الکحل کے استعمال کی کم سطح کا باعث بنے گا، تو حوصلہ افزائی ___________ ہو گی۔
0,professional_psychology,اینٹی بایوٹک,ایک خاص خوراک.,خون کی منتقلی.,ماحولیاتی زہریلا ہٹانا.,PKU سے وابستہ ذہنی پسماندگی کو روکا جا سکتا ہے:
2,professional_psychology,لڑکے اور اس کے خاندان پر اپنی مکمل فائل کی فوٹو کاپی جاری کریں۔,صرف وہی معلومات جاری کریں جو آپ کو یقین ہے کہ اسکول کے خدشات سے متعلق ہے۔,لڑکے کے والدین کے علاوہ کسی کو ریکارڈ جاری کرنے سے انکار کرتے ہیں۔,لائسنس یافتہ ماہر نفسیات کے علاوہ کسی کو ریکارڈ جاری کرنے سے انکار کریں۔,ایک جوڑا اپنے دس سالہ بیٹے کو اپنے اسکول کے کونسلر کے مشورے پر علاج کے لیے لاتا ہے جو اس لیے پریشان ہے کہ اس لڑکے نے اپنے استاد کے ساتھ جھگڑا شروع کر دیا ہے اور اپنے ہم جماعتوں کے ساتھ جسمانی لڑائیاں شروع کر دی ہیں۔ لڑکے اور اس کے خاندان کے ساتھ کئی سیشنوں کے بعد، آپ کو اسکول کے پرنسپل کی طرف سے ایک خط موصول ہوتا ہے جس میں لڑکے کی حالت کے بارے میں معلومات کی درخواست کی جاتی ہے، اور اس خط کے ساتھ لڑکے کے والدین کی طرف سے دستخط شدہ ریلیز بھی شامل ہوتی ہے۔ ایک اخلاقی ماہر نفسیات کے طور پر، آپ کو:
0,professional_psychology,نقصان کا انتساب,کامیابی کا انتساب,انتساب کا Covariation ماڈل,کارسپنڈنٹ انفرنس تھیوری,انتساب کے نظریات رویے کا اندازہ لگانے کے لیے استعمال ہونے والی معلومات کی اہم اقسام کے لیے ایک فریم ورک فراہم کرتے ہیں۔ ایک نظریہ اس بات کی وضاحت کرتا ہے کہ لوگ رویے کے ثبوت سے لوگوں کی ذاتی خصوصیات کی وضاحتوں کی شناخت کیسے کرتے ہیں۔ یہ نظریہ ___________ ہے۔
0,professional_psychology,دماغ کا پچھلا حصہ,تھیلامس,سیریبیلم,جالی دار تشکیل,نیند کے جاگنے کے چکر کو ریگولیٹ کیا جاتا ہے۔
