answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,computer_security,سرور کی پننگ کسی مخالف کے لیے CA کو کسی سائٹ کے لیے سرٹیفکیٹ بنانے اور اس سائٹ پر MITM حملہ کرنے کے لیے راضی کرنا مشکل بنا دیتی ہے۔,DANE کسی مخالف کے لیے SSL سٹرپنگ اٹیک شروع کرنا مشکل بنا دیتا ہے۔,OCSP اسٹیپلنگ سرور کو براؤزر کو یہ ثابت کرنے کی اجازت دیتی ہے کہ اس کا سرٹیفکیٹ منسوخ نہیں کیا گیا ہے۔,درست DV سرٹیفکیٹس صارف کو زیادہ اعتماد فراہم کرتے ہیں کہ وہ درست EV سرٹیفکیٹس کے مقابلے میں مطلوبہ پارٹی سے منسلک ہو رہی ہے۔,"کاغذ پر مبنی ""SoK: SSL اور HTTPS: ماضی کے چیلنجز پر نظر ثانی کرنا اور سرٹیفکیٹس پر اعتماد ماڈل میں اضافہ"" کا جائزہ لینا، درج ذیل میں سے کون سے بیانات غلط ہیں؟"
3,computer_security,IP نیٹ ورک براؤزر,Nslookup,کون ہے,DNS تلاش,SNMP شمار کرنے کے لیے کون سا ٹول استعمال کیا جا سکتا ہے؟
3,computer_security,WPA3,ڈبلیو پی اے 2,ڈبلیو پی اے,ڈبلیو ای پی,ان میں سے کون مضبوط وائرلیس سیکیورٹی ہے؟
2,computer_security,جھوٹا، سچ,درست غلط,جھوٹا، جھوٹا۔,سچ ہے، سچ ہے۔,"فرض کریں کہ یونکس نے پروسیس کے درمیان فائل ڈسکرپٹرز کو منتقل کرنے کا کوئی طریقہ فراہم نہیں کیا، لیکن پھر بھی فورک اور ایگزیک پر والدین سے فائل ڈسکرپٹرز کو وراثت میں لینے کی اجازت دی۔ OKWS ڈیزائن کے کون سے پہلو فائل ڈسکرپٹر پاس کیے بغیر ٹوٹ جائیں گے؟
1. خدمات کے لیے کلائنٹ ویب براؤزر سے TCP کنکشن حاصل کرنا ناممکن ہوگا۔
2. okd کے لیے نان روٹ صارف کے طور پر چلنا ناممکن ہوگا۔"
2,computer_security,پریزنٹیشن پرت,سیشن پرت,ڈیٹا لنک پرت,جسمانی تہہ,ناکام سیشن رسائی کی اسناد پر بروٹ فورس حملوں کی اجازت دیتے ہیں۔ اس قسم کے حملے OSI ماڈل کی کس پرت میں کیے جاتے ہیں؟
3,computer_security,اوپر کا سارا,ایس ایم ایس کوڈ,بائیو میٹرک,خفیہ سوال,مندرجہ ذیل میں سے کون سی تصدیق کا طریقہ ہے؟
2,computer_security,جب پروگرام دیکھتا ہے کہ ایک بفر بھر گیا ہے، اور اس طرح درخواستوں کو مسترد کرنا شروع کر دیتا ہے۔,جب ایک پوائنٹر میموری تک رسائی کے لیے استعمال کیا جاتا ہے جو اس کے لیے مختص نہیں کی گئی ہے۔,جب بفر کو اسٹیک سے ہیپ میں کاپی کرتے ہیں۔,ایک پوائنٹر پر لکھتے وقت جسے آزاد کر دیا گیا ہو۔,عام طور پر، بفر اوور فلو کب ہوتا ہے؟
2,computer_security,ان میں سے سب,عوامی کلید کا نظام,مشترکہ کلیدی نظام,پرائیویٹ کلیدی نظام,ایک ڈیجیٹل دستخط کی ضرورت ہے۔
3,computer_security,نیٹ ورک یا ٹرانسپورٹ پرت,جسمانی تہہ,ڈیٹا لنک پرت,درخواست یا نقل و حمل,ایک پیکٹ فلٹر فائر وال فلٹر پر
0,computer_security,ہاں، PRG چھدم ہے۔,ہاں، حملہ آور کسی بھی پیغام کے لیے درست ٹیگ نہیں بنا سکتا,یہ میک کی تفصیلات پر منحصر ہے۔,نہیں، حملہ آور صرف پیغامات کے ٹیگ کا اندازہ لگا سکتا ہے۔,"I = (S,V)I=(S,V) کو MAC بننے دیں۔ فرض کریں S(k,m)S(k,m) ہمیشہ 5 بٹ لمبا ہوتا ہے۔ کیا یہ میک محفوظ ہو سکتا ہے؟"
