question,choices,subject,answer
درج ذیل انتخاب میں سے ایک نجی بند معیشت کے سرکلر فلو ماڈل میں سب سے زیادہ براہ راست تبادلہ کب ہوتا ہے۔,گھر والے اجرت کی ادائیگی کے بدلے فرموں کو سامان فراہم کرتے ہیں۔|گھر والے سامان کے بدلے فرموں کو وسائل فراہم کرتے ہیں۔|گھر والے اجرت کی ادائیگی کے بدلے فرموں کو محصول فراہم کرتے ہیں۔|فرمیں محصولات کے عوض گھرانوں کو سامان فراہم کرتی ہیں۔,high_school_macroeconomics,3
ڈالر کی قدر میں کمی کا سب سے زیادہ امکان ہے۔,درآمدات میں اضافہ|بیرون ملک سفر میں اضافہ کریں۔|برآمدات میں اضافہ|تجارتی سرپلس کو کم کریں۔,high_school_macroeconomics,2
مندرجہ ذیل میں سے کون ٹیکس ضرب کے سائز کو بڑھاتا ہے؟,استعمال کرنے کے معمولی رجحان میں اضافہ۔|ریزرو ریشو میں اضافہ۔|بچانے کے لیے معمولی رجحان میں اضافہ۔|اخراجات کے ضرب میں کمی۔,high_school_macroeconomics,0
مندرجہ ذیل میں سے کون سا کم اقتصادی وسائل نہیں ہے؟,مزدور|سرمایہ|انسان کی خواہش|زمین,high_school_macroeconomics,2
ریاستہائے متحدہ میں کم شرح سود کی وجہ سے ڈالر کی قیمت اور برآمدات میں مندرجہ ذیل میں سے کن طریقوں سے تبدیلی آتی ہے؟ ڈالر کی قدر    امریکی برآمدات,بڑھتی ہوئی     بڑھتی ہوئی ۔|بڑھتا ہوا گھٹتا|گھٹنا     بڑھنا|گھٹتی ہوئی     بغیر تبدیلی,high_school_macroeconomics,2
مندرجہ ذیل میں سے کون سی خودکار مالیاتی پالیسی اسٹیبلائزرز کے لیے درست ہے؟,حکومتی اخراجات کی ایک دی گئی سطح کے لیے وہ کساد بازاری کے دوران خسارہ پیدا کرتے ہیں اور توسیع کے دوران سرپلس۔|وہ کساد بازاری اور افراط زر کے ادوار کو طول دینے کا کام کرتے ہیں۔|رجعت پسند ٹیکس نظام خودکار اسٹیبلائزرز کا ایک بنیادی جزو ہے۔|حکومتی اخراجات کی ایک دی گئی سطح کے لیے وہ کساد بازاری کے دوران اضافی اور توسیع کے دوران اضافی پیدا کرتے ہیں۔,high_school_macroeconomics,0
مندرجہ ذیل میں سے کون سا مجموعی طلب وکر کو تبدیل نہیں کرے گا؟,صارفین کے اعتماد میں تبدیلی۔|ٹیکنالوجی میں تبدیلی۔|رقم کی فراہمی میں تبدیلی۔|ریاستی حکومتوں کے اخراجات میں تبدیلی۔,high_school_macroeconomics,1
مندرجہ ذیل میں سے کون سا ممکنہ طور پر اقتصادی ترقی کی تیز رفتار شرح میں حصہ ڈالے گا؟,ایک زیادہ پابندی والی امیگریشن پالیسی|منفی خالص سرمایہ کاری|گھرانوں اور فرموں پر زیادہ ٹیکس|صاف توانائی کی فراہمی پر تحقیق کے لیے اعلیٰ حکومتی فنڈنگ,high_school_macroeconomics,3
فلپس وکر کے درمیان تعلق کی نمائندگی کرتا ہے,افراط زر اور پیسے کی فراہمی.|بے روزگاری اور پیسے کی فراہمی۔|رقم کی فراہمی اور حقیقی سود کی شرح۔|مہنگائی اور بے روزگاری.,high_school_macroeconomics,3
اگر حقیقی جی ڈی پی فی کس 10 فیصد سالانہ کی شرح سے بڑھے تو ہم توقع کر سکتے ہیں کہ زندگی کا معیار دوگنا ہو جائے گا۔,10 سال۔|9 سال|8 سال|7 سال,high_school_macroeconomics,3
حکومت معاشی ترقی کو فروغ دے سکتی ہے۔,کم از کم اجرت کا تعین|ریگولیٹری صنعت.|وسائل کو ضائع کرنے والی فرموں پر ٹیکس لگانا۔|ملازمت کے تربیتی پروگرام,high_school_macroeconomics,3
