question,choices,subject,answer
دی گئی فیلڈ ایکسٹینشن Q(sqrt(2)، sqrt(3)، sqrt(18)) کے لیے Q پر ڈگری تلاش کریں۔,0|4|2|6,abstract_algebra,1
"چلیں p = (1, 2, 5, 4)(2, 3) S_5 میں۔ S_5 میں <p> کا انڈیکس تلاش کریں۔",8|2|24|120,abstract_algebra,2
دیے گئے کثیر الاضلاع کے اشارہ کردہ محدود فیلڈ میں تمام زیرو کو اس فیلڈ میں گتانک کے ساتھ تلاش کریں۔ x^5 + 3x^3 + x^2 + 2x Z_5 میں,0|1|0،1|0،4,abstract_algebra,3
بیان 1 | غیر ابیلیائی گروہ کا ایک عامل گروپ غیر ابیلیائی ہے۔ بیان 2 | اگر K H کا عام ذیلی گروپ ہے اور H G کا عام ذیلی گروپ ہے، تو K G کا ایک عام ذیلی گروپ ہے۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,1
"دی گئی کثیر الثانی انگوٹھی میں دی گئی کثیر الثانیات کی پیداوار تلاش کریں۔ f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x]۔",2x^2 + 5|6x^2 + 4x + 6|0|x^2 + 1,abstract_algebra,1
بیان 1 | اگر کسی گروپ میں آرڈر 15 کا عنصر ہے تو اس میں آرڈر 15 کے کم از کم 8 عناصر ہونے چاہئیں۔ بیان 2 | اگر کسی گروپ میں آرڈر 15 کے 8 سے زیادہ عناصر ہیں، تو اس میں آرڈر 15 کے کم از کم 16 عناصر ہونے چاہئیں۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,0
بیان 1 | گروپ G کی ہر ہومومورفک تصویر G کے فیکٹر گروپ کے لیے isomorphic ہے۔ بیان 2 | گروپ G کی ہومومورفک امیجز وہی ہیں (آسومورفزم تک) جی کے فیکٹر گروپس۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,0
بیان 1 | انگوٹی ہومومورفزم ایک سے ایک ہے اگر اور صرف اس صورت میں جب دانا {0} ہو۔ بیان 2 | Q R میں ایک مثالی ہے۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,3
دی گئی فیلڈ ایکسٹینشن Q(sqrt(2) + sqrt(3)) Q پر ڈگری تلاش کریں۔,0|4|2|6,abstract_algebra,1
دیے گئے کثیر الاضلاع کے اشارہ کردہ محدود فیلڈ میں تمام زیرو کو اس فیلڈ میں گتانک کے ساتھ تلاش کریں۔ x^3 + 2x + 2 Z_7 میں,"1|2|2,3|6",abstract_algebra,2
بیان 1 | اگر H G کا ذیلی گروپ ہے اور a کا تعلق G سے ہے تو |aH| = |ہا| بیان 2 | اگر H G کا ذیلی گروپ ہے اور a اور b کا تعلق G سے ہے تو aH اور Hb ایک جیسے ہیں یا منقطع ہیں۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,2
"اگر A = {1, 2, 3} تو رشتہ S = {(1, 1), (2, 2)} ہے",صرف ہم آہنگی|صرف مخالف ہم آہنگی|ہم آہنگی اور مخالف ہم آہنگی دونوں|ایک مساوی تعلق,abstract_algebra,2
"فیکٹر گروپ کی ترتیب تلاش کریں (Z_11 x Z_15)/(<1, 1>)",1|2|5|11,abstract_algebra,0
کثیر الجہتی x^3 + 2x^2 + 2x + 1 کو Z_7[x] میں لکیری عوامل میں فیکٹر کیا جا سکتا ہے۔ اس فیکٹرائزیشن کو تلاش کریں۔,(x − 2)(x + 2)(x − 1)|(x + 1)(x + 4)(x − 2)|(x + 1)(x − 4)(x − 2)|(x - 1)(x − 4)(x − 2),abstract_algebra,2
n = 10 کے لیے S_n کے عنصر کے لیے زیادہ سے زیادہ ممکنہ ترتیب تلاش کریں۔,6|12|30|105,abstract_algebra,2
بیان 1 | R Q. بیان 2 کے مقابلے میں کچھ کثیرالاضلاع کی تقسیم کرنے والی فیلڈ ہے۔ ایک فیلڈ ہے جس میں 60 عناصر ہیں۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,1
"ضرب گروپ میں -i کا الٹا، {1, -1, i, -i} ہے۔",1|-1|میں|-میں,abstract_algebra,2
"دی گئی انگوٹی میں پروڈکٹ کا حساب لگائیں۔ (2,3)(3,5) Z_5 x Z_9 میں","(1،1)|(3،1)|(1,6)|(3,6)",abstract_algebra,2
معمول کے ضرب کے عمل کے تحت تمام حقیقی اعداد کا سیٹ اس کے بعد سے ایک گروپ نہیں ہے۔,ضرب ایک بائنری آپریشن نہیں ہے۔|ضرب ہم آہنگی نہیں ہے۔|شناخت کا عنصر موجود نہیں ہے۔|صفر کا کوئی الٹا نہیں ہے۔,abstract_algebra,3
بیان 1| آرڈر p^2 کا ہر گروپ جہاں p پرائم ہے ایبیلین ہے۔ بیان 2 | ایک فکسڈ پرائم p کے لیے گروپ G کا ایک Sylow p ذیلی گروپ G کا ایک عام ذیلی گروپ ہے اگر اور صرف اس صورت میں جب یہ G کا واحد Sylow p- ذیلی گروپ ہو۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,0
بیان 1 | محدود گروپس G اور H، |G + H| کے لیے = |G||H| (G + H اندرونی براہ راست مصنوعہ ہے۔) بیان 2 | اگر r m اور s کو n تقسیم کرتا ہے تو Z_m + Z_n کا ایک ذیلی گروپ isomorphic to Z_r + Z_s ہے۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,0
"دی گئی کثیر الثانی انگوٹھی میں دیئے گئے کثیر الاضلاع کا مجموعہ تلاش کریں۔ f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x]۔",2x^2 + 5|6x^2 + 4x + 6|0|x^2 + 1,abstract_algebra,0
"بیان 1 | R^2 میں دو ویکٹروں کا کوئی بھی سیٹ لکیری طور پر آزاد ہے۔ بیان 2 | اگر V = span(v1, ... , vk) اور {v1, ... , vk} لکیری طور پر آزاد ہیں، تو dim(V) = k۔",سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,3
پیچیدہ اعداد کی ضرب کے تحت اتحاد کی تمام نویں جڑوں کا مجموعہ a/an بنتا ہے۔,شناخت کے ساتھ نیم گروپ|شناخت کے ساتھ تبدیل شدہ سیمی گروپس|گروپ|ابیلیان گروپ,abstract_algebra,3
بیان 1 | ہر زیادہ سے زیادہ آئیڈیل ایک بنیادی آئیڈیل ہوتا ہے۔ بیان 2 | اگر I ایک کمیوٹیو رِنگ R کا زیادہ سے زیادہ آئیڈیل ہے، تو R/I فیلڈ ہے۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,1
آئیے G نے تمام n x n غیر واحد میٹرکس کے سیٹ کو عقلی اعداد کے ساتھ بطور اندراج ظاہر کیا۔ پھر ضرب کے تحت G a/an ہے۔,ذیلی گروپ|محدود ابیلیان گروپ|لامحدود، غیر ابیلیان گروپ|لامحدود، ابیلیان,abstract_algebra,2
بیان 1 | آرڈر 42 کے ہر گروپ میں آرڈر 7 کا عام ذیلی گروپ ہوتا ہے۔ بیان 2 | آرڈر 42 کے ہر گروپ میں آرڈر 8 کا عام ذیلی گروپ ہوتا ہے۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,2
اس بات کا تعین کریں کہ آیا Z[x] میں کثیرالاضلاع Q. 8x^3 + 6x^2 - 9x + 24 پر ناقابل واپسی کے لیے آئزن اسٹائن کے معیار کو پورا کرتا ہے,ہاں، p=2 کے ساتھ۔|ہاں، p=3 کے ساتھ۔|جی ہاں، p=5 کے ساتھ۔|نہیں۔,abstract_algebra,1
بیان 1 | ہومومورفزم کے تحت 6 عناصر کے گروپ کی تصویر میں 12 عناصر ہوسکتے ہیں۔ بیان 2 | 12 عناصر کے کچھ گروپ میں 6 عناصر کے کچھ گروپ کی ہومومورفزم ہے۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,3
بیان 1 | سائکلک گروپ کی ہومومورفک تصویر چکراتی ہے۔ بیان 2 | ابیلیان گروپ کی ہومومورفک تصویر ابیلیان ہے۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,0
بیان 1 | اگر H ایک گروپ G کا ذیلی گروپ ہے اور a کا تعلق G سے ہے، تو aH = Ha۔ بیان 2 | اگر H G کا نارمل ہے اور a کا تعلق G سے ہے، تو H میں تمام h کے لیے ah = ha۔,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,1
اگر (G، .) ایک ایسا گروپ ہے کہ (ab)^-1 = a^-1b^-1، تمام a، b کے لیے G میں، تو G a/an ہے۔,بدلنے والا نیم گروپ|ابیلیان گروپ|غیر ابیلین گروپ|ان میں سے کوئی نہیں,abstract_algebra,1
بیان 1 | ایک محدود جہتی ویکٹر اسپیس میں ویکٹر کا ہر خطی آزاد سیٹ ایک بنیاد میں موجود ہوتا ہے۔ بیان 2 | اگر B_1 اور B_2 ایک ہی ویکٹر کی جگہ کی بنیادیں ہیں، تو |B_1| = |B_2|,سچ ہے، سچ ہے۔|جھوٹا، جھوٹا۔|درست غلط|جھوٹا، سچ,abstract_algebra,0
