question,choices,subject,answer
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
""جب دیوتاؤں نے گلگامیش کی شکل بنائی*، تو انہوں نے اسے ایک بہترین شکل دی، شاندار سورج شمش نے اسے جلال بخشا؛ طوفانوں کے خوفناک دیوتا ادد نے اسے ہمت عطا کی۔ عظیم دیوتاؤں نے اس کی شان کو باقی سب سے بڑھ کر، عظیم کی طرح خوفناک کیا۔ دو تہائی خدا انہوں نے اسے بنایا۔
یوروک کی، اس کی عظیم دیوار اس نے تعمیر کی، اور مقدس ایانا مندر کی دیوار، مقدس مقدس مقام۔ باہر کی دیواروں کو دیکھو جو تانبے کی چمک سے چمک رہی ہیں۔ اندرونی دیوار دیکھیں جس کا کوئی مقابلہ نہیں کر سکتا۔ دہلیز کے پتھر کو چھو - یہ قدیم زمانے سے ہے۔ تم ایانا ہیکل میں جاؤ، ہاں، اشتر کے رہنے کی جگہ، جس کے بعد کوئی بادشاہ یا زندہ آدمی برابر نہیں ہو سکتا۔ اروک کی دیوار پر چڑھیں اور چہل قدمی کریں، کونے کے پتھر کا معائنہ کریں، اور اس کی اینٹوں کے کام کا جائزہ لیں، آیا اس کی دیوار جلی ہوئی اینٹوں سے تو نہیں بنی، اور اس کی بنیاد سات بزرگوں نے رکھی تھی۔ ایک تہائی شہر کے لیے، ایک تہائی باغ کے لیے، ایک تہائی کھیت کے لیے، اور بیت المقدس کے لیے ایک احاطہ۔ یہ حصے اور حدود Uruk پر مشتمل ہیں۔""
دی ایپک آف گلگامیش، سی اے۔ 2100 قبل مسیح
*گلگامیش اروک کا بادشاہ تھا۔
قدیم شہروں کے بارے میں درج ذیل میں سے کون سا بیان دوسرے پیراگراف میں یورک کی بحث سے سب سے زیادہ تائید کرتا ہے؟",قدیم شہروں میں حملے کے خلاف موثر قلعوں کی کمی تھی۔|قدیم شہروں میں ان کے سرپرست دیوتاؤں کی پوجا کے لیے علاقے نمایاں تھے۔|قدیم شہر عام طور پر اپنے مندروں کو معمولی طریقوں سے سجاتے تھے۔|قدیم شہروں میں اپنی فوجوں کی تربیت کے لیے علاقے نمایاں تھے۔,high_school_world_history,1
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
اب اگر طلاق تمہاری مرضی ہے تو میں تم پر الزام نہیں لگا سکتا۔ کیونکہ انتظار طویل ہو گیا ہے۔ اور میں نہیں جانتا کہ کیا خالق فوری طور پر راحت دے گا تاکہ میں گھر آ سکوں، یا معاملات میں وقت لگے گا، کیونکہ میں بغیر کسی چیز کے گھر نہیں آ سکتا۔ اب معاملہ آپ کے ہاتھ میں ہے۔ اگر آپ ہماری شادی کو ختم کرنا چاہتے ہیں، تو انکار کے اس بل کو قبول کریں، اور آپ آزاد ہیں۔ خدا آپ کو صحیح فیصلہ کرنے کی ترغیب دے۔
ہندوستان میں ایک یہودی تاجر کا قاہرہ میں اپنی بیوی کو خط، ca. 1200
مندرجہ بالا حوالہ مندرجہ ذیل میں سے کس تاریخی پیش رفت کی روشنی میں دیکھا جا سکتا ہے؟",بین علاقائی تجارت کے نتیجے میں دور دراز ڈائاسپورا کمیونٹیز کی تشکیل|پدرانہ نظام کے جواز کے لیے منظم مذہب کا مسلسل استعمال|قائم تجارتی راستوں پر مسلح تصادم کی وجہ سے خاندانوں کی مستقل تقسیم|مشرک آبادیوں میں خاندانی ڈھانچے کا ارتقاء,high_school_world_history,0
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
مجھے پکڑ کر وہ مجھے اندھیرے کے گھر لے گیا…
جس گھر میں داخل ہونے والے باہر نہ نکلیں
واپسی کے راستے میں،
جس گھر میں رہنے والے بغیر روشنی کے کرتے ہیں
جہاں گندگی ان کا مشروب ہے وہاں ان کا کھانا مٹی کا ہے
جہاں روشنی نظر نہیں آتی۔ وہ اندھیرے میں رہتے ہیں،
اور دروازے اور بولٹ پر دھول پڑی ہے۔
ٹیبلٹ VII سے، دی ایپک آف گلگامیش، سمیریا، سی اے۔ 2100 قبل مسیح
سچائی اچھی ہے اور اس کی قیمت پائیدار ہے۔
یہ اپنے خالق کے دن سے پریشان نہیں ہوا
جبکہ اس کے احکام کی خلاف ورزی کرنے والے کو سزا دی جاتی ہے۔
یہ اس کے سامنے ایک راستہ کی طرح پڑا ہے جو کچھ نہیں جانتا۔
غلط کام ابھی تک اپنے منصوبے کو بندرگاہ پر نہیں لایا ہے…
جن کو دیوتا ہدایت دیتے ہیں وہ اپنے آپ کو کھو نہیں سکتے۔
جن کے پاس جانے سے منع کرتے ہیں وہ زندگی کے دریا کو پار نہیں کر سکیں گے۔
میکسم آف پٹاہوٹپ، مصر، سی اے سے۔ 2400 قبل مسیح
دوسرے متن کا لہجہ قدیم معاشروں پر مذہبی عقائد کے اثرات کے بارے میں درج ذیل میں سے کون سے مفروضوں کی بہترین عکاسی کرتا ہے؟","قدیم مصری معاشرہ ہمدردی کو اعلیٰ ترین خوبی سمجھتا تھا۔|قدیم مصریوں کا خیال تھا کہ اخلاقی رویے موت کے بعد کسی کی قسمت پر اثر انداز ہوتے ہیں۔|قدیم مصری پادریوں نے اخلاقیات کے ایک سخت ""آنکھ کے بدلے آنکھ"" کو فروغ دیا۔|قدیم مصری عبادت گزار رسومات اور نذرانے کے وسیع مجموعے کے پابند تھے۔",high_school_world_history,1
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
""میں نے وہاں سے یمن کی بندرگاہ عدن کا سفر کیا، جو سمندر کے ساحل پر واقع ہے، یہ پہاڑوں سے گھرا ہوا ہے اور صرف ایک طرف سے ہی اس تک پہنچا جا سکتا ہے؛ اس میں کوئی فصل، درخت یا پانی نہیں ہے، بلکہ اس کے ذخائر ہیں جن میں بارش کا پانی ہے۔ عرب باشندوں کو پینے کے پانی کی فراہمی سے روکتے ہیں جب تک کہ وہ انہیں پیسے اور کپڑے کے ٹکڑوں سے نہیں خریدتے، یہ ہندوستانیوں کی بندرگاہ ہے۔ کنبائیت [کیمبے]، کاولم [کوئلون]، کالی کٹ اور بہت سے دوسرے مالابار بندرگاہوں سے [بھارت کے جنوب مغربی ساحل پر] وہاں رہنے والے ہندوستانی تاجروں کے ساتھ ساتھ اس کے باشندے بھی یا تو سوداگر ہیں۔ ، یا ماہی گیر بہت زیادہ مالدار ہوتے ہیں کہ بعض اوقات ایک ہی سوداگر ایک بڑے جہاز کا مالک ہوتا ہے اور اس کے باوجود وہ متقی ہیں۔ عاجز، راست باز، اور فیاض کردار، اجنبیوں کے ساتھ اچھا سلوک کریں، عقیدت مندوں کو دل کھول کر دیں، اور خدا کی طرف سے پورا دسواں حصہ ادا کریں۔""
ابن بطوطہ، ca. 1325-1354 عیسوی
جریدے کا لہجہ بحر ہند کے تجارتی نیٹ ورک میں درج ذیل میں سے کون سی پیش رفت کی بہترین عکاسی کرتا ہے؟",ثقافتی پھیلاؤ کو فروغ دینے کے لیے تجارت کی صلاحیت|عرب کے بندرگاہی شہروں کی برتری|زبان کی رکاوٹوں کی وجہ سے بڑھتی ہوئی مشکل|نقدی فصلوں کی زیادہ پیداوار,high_school_world_history,0
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
""Tencteri کے آنے کے بعد، پہلے دنوں میں، Bructeri؛ لیکن اب عام بیان یہ ہے کہ چماوی اور انگریواری اپنی بستیوں میں داخل ہوئے، انہیں باہر نکال دیا اور [پڑوسیوں] قبائل کی مشترکہ مدد سے، یا تو نفرت کی وجہ سے انہیں مکمل طور پر ختم کر دیا۔ ان کے ظلم و ستم سے، یا ہمارے لئے آسمانی [سازگار] کے لحاظ سے، اس نے ہمیں اس لڑائی کے تماشے سے بھی ناراض نہیں کیا، جو کہ رومن کے ہتھیاروں اور ہتھیاروں کے نیچے نہیں گرے تھے۔ دور، ہماری خوش آنکھوں کے سامنے، میں دعا کرتا ہوں کہ اگر ہم سے محبت نہیں تو کم از کم ایک دوسرے کے لیے نفرت برقرار رہے، جب کہ سلطنت کی تقدیر ہمارے دشمنوں کے درمیان اختلاف سے بڑھ کر کوئی نعمت نہیں دے سکتی۔ ""
Germania، Publius Cornelius Tacitus، ca. 98 عیسوی
مندرجہ ذیل میں سے کس نے رومی سلطنت کے زوال میں سب سے کم حصہ ڈالا؟",تخت کے لیے حریفوں کے درمیان خانہ جنگیاں|سلطنت میں وحشی لوگوں کی دراندازی|سلطنت میں حکومت کے ایک ادارے کے طور پر سینیٹ کی استقامت|بیماریوں اور وبائی امراض کی وجہ سے آبادیاتی کمزوری۔,high_school_world_history,2
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
اوہ، شرم کرو، غریب سرمائی بادشاہ!
یہ تم نے کیا کیا ہے؟
بہت شرارتی چیز نہیں ہے۔
قیصر کا تاج چھیننے کے لیے؟
اب تمہیں دور رہنا پڑے گا۔
رائن اور پراگ سے یکساں،
اور اس سے بڑھ کر - شرم اور مایوسی۔
تمہارے دن اور راتیں طاعون کریں گی۔
ٹھیک آپ جانتے تھے، اور تمام دنیا،
وہ یہ بات اچھی طرح جانتے ہیں،
وہ فرڈینینڈ اکیلا ہو سکتا ہے۔
بوہیمیا کا قانونی بادشاہ۔
تو آؤ، پیارے فرٹز، اٹھو اور جاؤ
فرڈینینڈ کو، اپنے بادشاہ،
اور اسے دکھاوے کے لیے رحمدلی سے منت کریں۔
اپنے گناہ کی مکمل معافی
""غریب سرمائی بادشاہ،"" سترھویں صدی کا گانا
گانے کا راوی زیادہ تر ممکنہ طور پر درج ذیل میں سے کس کی شناخت کرے گا؟",رومن کیتھولک|مشرقی آرتھوڈوکس|پروٹسٹنٹ|مسلمان,high_school_world_history,0
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
""Huancavelica کی چاندی کی کانیں ہیں جہاں غریب ہندوستانیوں کو اتنی سخت سزا دی جاتی ہے، جہاں ان پر تشدد کیا جاتا ہے اور بہت سے ہندوستانی مر جاتے ہیں؛ یہیں پر اس بادشاہی کے معززین [سرداروں] کو ختم کر کے تشدد کا نشانہ بنایا جاتا ہے۔ باقی تمام کانیں: پوٹوسی کی چاندی کی کانیں [اور دیگر].... کانوں کے مالکان اور اسٹیورڈز، خواہ اسپینی، میسٹیزوز، یا ہندوستانی، ایسے ظالم ہیں، جن کو خدا یا انصاف کا کوئی خوف نہیں، کیونکہ ان کا آڈٹ نہیں کیا جاتا اور سال میں دو بار معائنہ نہیں کیا جاتا...
اور انہیں کانوں تک جانے اور جانے کی مزدوری یا کانوں میں گزارے جانے والے وقت کی ادائیگی نہیں کی جاتی ہے۔ ہندوستانیوں کو کان کنی کے کاموں کے بہانے، اپنے کام کے دن مویشیوں کو چرانے اور سامان پہنچانے میں گزارنے پر مجبور کیا جاتا ہے۔ انہیں میدانی علاقوں میں بھیج دیا جاتا ہے، اور ہندوستانی مر جاتے ہیں۔ ان ہندوستانیوں کو ان کی محنت کا معاوضہ نہیں دیا جاتا، اور ان کے کام کو پوشیدہ رکھا جاتا ہے۔
اور [کان کے مالکان] ہندوستانی کھانا پکانے والی خواتین کو اپنی رہائش گاہوں میں رکھتے ہیں۔ وہ لونڈیاں لینے کے بہانے کھانا پکانے کا استعمال کرتے ہیں….اور وہ ہندوستانیوں کو مکئی یا گوشت یا چیچا [مکئی کی بیئر] …اپنے خرچ پر قبول کرنے پر مجبور کرتے ہیں، اور وہ اپنی محنت اور کام کے دنوں سے قیمت کاٹتے ہیں۔ اس طرح ہندوستانی بہت غریب اور قرضوں میں ڈوبے ہوئے ہیں، اور ان کے پاس خراج ادا کرنے کا کوئی راستہ نہیں ہے۔
ان سب کا کوئی علاج نہیں ہے، کیونکہ جو بھی [نوآبادیاتی اہلکار] داخل ہوتا ہے وہ کان کے مالکان کے ساتھ معاہدہ کرتا ہے، اور تمام مالکان اس کو رشوت دینے کے لیے فوج میں شامل ہو جاتے ہیں.... یہاں تک کہ ہندوستانیوں کا محافظ بھی بیکار ہے۔ غریب ہندوستانیوں کو پہنچنے والے نقصانات کے بارے میں اپنی عظمت یا اپنی شاہی سامعین [عدالت] کو متنبہ کریں۔""
دی فرسٹ نیو کرانیکل اینڈ گڈ گورنمنٹ سے اقتباس، فیلیپ گومان پوما ڈی الایا کے ذریعہ۔ ڈیوڈ فرائی کے ذریعہ منتخب، ترجمہ اور تشریح۔ کاپی رائٹ 2006 ہیکیٹ پبلشنگ کمپنی۔ پبلشر کی اجازت سے دوبارہ پرنٹ کیا گیا۔
Felipe Guaman Poma de Ayala, The First New Chronicle and Good Government, ca. 1610
اقتباس کے طریقوں کے مقابلے میں، نئی دنیا میں مقامی باشندوں کے ساتھ انگریزی سلوک اس لحاظ سے مختلف تھا کہ وہ",مقامی لوگوں کو حقیقی مساوی کے طور پر دیکھا جب انہوں نے امریکہ کو آباد کیا۔|مقامی لوگوں کے زمین کی ملکیت کے تصور کی کمی کی وجہ سے الجھن میں تھے۔|بڑے پیمانے پر مقامی لوگوں کے ساتھ گھل مل جانے سے تعزیت نہیں کی۔|مقامی لوگوں کو خاص طور پر نقد فصلوں جیسے تمباکو اور کپاس کی کٹائی کے لیے استعمال کیا,high_school_world_history,2
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
""تیز رفتار کو کم کرنے کا مطلب ہے پیچھے پڑنا۔ اور جو لوگ پیچھے پڑ جاتے ہیں وہ مارے جاتے ہیں۔ لیکن ہم نہیں مارنا چاہتے۔ نہیں، ہم مار کھانے سے انکار کرتے ہیں! پرانے روس کی تاریخ کی ایک خصوصیت یہ تھی کہ وہ مسلسل مار پیٹ کرتی رہی کیونکہ اسے منگول خانوں نے مارا تھا۔ جاپانی بیرنز نے اسے مارا - اس کی پسماندگی کی وجہ سے، اس کی فوجی پسماندگی، صنعتی پسماندگی، زرعی پسماندگی کی وجہ سے، یہ منافع بخش تھا۔ انقلاب سے پہلے کے شاعر کے الفاظ یاد رکھیں: ""تم غریب اور بہت زیادہ ہو، مادر روس، وہ حضرات بوڑھے شاعر کے اشعار سے کافی واقف تھے، انہوں نے کہا: ""تم بہت زیادہ ہو۔"" تاکہ کوئی آپ کے خرچ پر خود کو مالا مال کر سکے۔ انہوں نے اسے مارا پیٹا، یہ کہتے ہوئے: ""تم غریب اور نامرد ہو،"" تاکہ تمہیں مارا پیٹا جائے اور معافی کے ساتھ لوٹا جائے۔ یہ استحصال کرنے والوں کا قانون ہے – پسماندہ اور کمزوروں کو مارنا۔ یہ سرمایہ داری کا جنگل کا قانون ہے۔ آپ پسماندہ ہیں، آپ کمزور ہیں – اس لیے آپ غلط ہیں۔ لہذا آپ کو مارا پیٹا اور غلام بنایا جا سکتا ہے۔ آپ زبردست ہیں--اس لیے آپ درست ہیں؛ اس لیے ہمیں آپ سے ہوشیار رہنا چاہیے۔
اس لیے ہمیں مزید پیچھے نہیں رہنا چاہیے۔‘‘
جوزف اسٹالن، سوشلسٹ انڈسٹری کے سرکردہ افراد کی پہلی آل یونین کانفرنس میں تقریر، 4 فروری 1931
""مسلسل مار پیٹ"" کا حوالہ بعد میں سوویت خارجہ پالیسی میں درج ذیل میں سے کس فیصلوں کی براہ راست حمایت کرتا ہے؟",افغانستان پر حملہ|وارسا معاہدے کی تخلیق|یورپ میں سوویت مخالف مظاہرین کے خلاف بریزنیف نظریے کا نفاذ|دوسری جنگ عظیم کے اختتام پر جاپان کے خلاف اعلان جنگ,high_school_world_history,1
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
اے ایمان والو! سخت شراب نوشی اور موقع کے کھیل اور بت… شیطان کے کارنامے کی صرف بدنامی ہیں۔ اسے چھوڑ دو تاکہ تم کامیاب ہو جاؤ۔
قرآن، سورہ 5:89
جب ایک بار سنو کہ گلاب کھل رہے ہیں،
پھر وقت ہے، میرے پیارے، شراب ڈالنے کا۔
عمر خیام کی رباعیات
دونوں آیات کا سب سے گہرا تعلق ہے۔",اسلامی معاشرے کے اندر اہم معاشی عمل۔|اسلامی معاشرے میں کھانے پینے کی اشیاء کی پیداوار۔|اسلامی معاشرے میں ذاتی سلوک کا مذہبی ضابطہ۔|اسلامی معاشرے میں صنفی تعلقات کی تبدیلی,high_school_world_history,2
"یہ سوال درج ذیل معلومات کا حوالہ دیتا ہے۔
اب اگر طلاق تمہاری مرضی ہے تو میں تم پر الزام نہیں لگا سکتا۔ کیونکہ انتظار طویل ہو گیا ہے۔ اور میں نہیں جانتا کہ کیا خالق فوری طور پر راحت دے گا تاکہ میں گھر آ سکوں، یا معاملات میں وقت لگے گا، کیونکہ میں بغیر کسی چیز کے گھر نہیں آ سکتا۔ اب معاملہ آپ کے ہاتھ میں ہے۔ اگر آپ ہماری شادی کو ختم کرنا چاہتے ہیں، تو انکار کے اس بل کو قبول کریں، اور آپ آزاد ہیں۔ خدا آپ کو صحیح فیصلہ کرنے کی ترغیب دے۔
ہندوستان میں ایک یہودی تاجر کا قاہرہ میں اپنی بیوی کو خط، ca. 1200
مندرجہ بالا حوالے سے ظاہر ہونے والی ازدواجی کشیدگی کی سب سے زیادہ ممکنہ وجہ درج ذیل میں سے کون سی ہے؟",طویل عرصے تک علیحدگی کی وجہ سے تاجر خاندانوں پر دباؤ|تاجر کے ہندو مذہب کے سامنے آنے سے پیدا ہونے والا مذہبی اختلاف|تاجر کی جانب سے مستقل طور پر ہندوستان میں رہنے کا فیصلہ|دیوالیہ پن تاجر کو گھر سے دور پھنسا رہا ہے۔,high_school_world_history,0
