answer,subject,choice_3,choice_2,choice_1,choice_0,question
0,high_school_statistics,مندرجہ بالا میں سے کوئی بھی دیے گئے null کا قابل قبول متبادل ہے۔,HA: μ1− μ2≠ 0,HA: μ1− μ2< 0,HA: μ1− μ2> 0,"ایک ماہر نفسیات کا خیال ہے کہ بچوں میں اچھے رویے کو فروغ دینے میں برے رویے کی سزا سے زیادہ مناسب رویے کے لیے مثبت انعامات زیادہ موثر ہیں۔ ""مناسب سلوک"" کا ایک پیمانہ تیار کیا جاتا ہے۔ μ1= مثبت انعامات حاصل کرنے والے بچوں کے لیے ""مناسب برتاؤ"" کی درجہ بندی، اور μ2= سزا پانے والے بچوں کے لیے ""مناسب سلوک"" کی درجہ بندی۔ اگر H0: μ1− μ2= 0، مندرجہ ذیل میں سے کون سا HA کا صحیح بیان ہے؟"
1,high_school_statistics,II اور III,I اور III,I اور II,صرف II,اعتماد کے وقفے کا تخمینہ n خاندانوں کے بے ترتیب نمونے میں ماہانہ گروسری کے اخراجات سے لگایا جاتا ہے۔ مندرجہ ذیل میں سے کس کے نتیجے میں غلطی کا ایک چھوٹا مارجن ہوگا؟ I. اعتماد کی ایک چھوٹی سطح۔ II ایک چھوٹا نمونہ معیاری انحراف۔ III ایک چھوٹا نمونہ سائز
2,high_school_statistics,مضامین کی کافی تعداد کا استعمال کرتے ہوئے تجربے کی نقل,پلیسبو اثر کو کنٹرول کرنے کے لیے متضاد متغیر کا استعمال,مختلف علاج کے لیے مضامین کو تفویض کرنے میں بے ترتیب ہونا,الجھانے والے متغیرات کا کنٹرول,تجربات کے ڈیزائن میں مندرجہ ذیل میں سے کون سا اہم نہیں ہے؟
3,high_school_statistics,جب آپ اہمیت کی سطح α کا انتخاب کرتے ہیں، تو آپ ٹائپ I کی غلطی کے امکان کو بالکل α پر سیٹ کر رہے ہیں۔,ایک قسم II کی خرابی کا نتیجہ نکلے گا اگر کوئی غلط طریقے سے فرض کرتا ہے کہ ڈیٹا عام طور پر تقسیم کیا جاتا ہے۔,مفروضے کے امتحان کے انعقاد میں، ایک ہی وقت میں قسم I اور قسم II دونوں کی غلطی کرنا ممکن ہے۔,قسم II کی غلطی کا امکان قسم I کی غلطی کے امکان پر منحصر نہیں ہے۔,مندرجہ ذیل میں سے کون سا بیان درست ہے؟
1,high_school_statistics,ترچھا پن,ہم آہنگی,تغیر پذیری,مرکزی رجحان۔,آبادی میں 60ویں اور 40ویں پرسنٹائل سکور کے درمیان فرق کے طور پر ایک نئی پیمائش کی وضاحت کریں۔ یہ پیمائش سے متعلق معلومات فراہم کرے گی۔
2,high_school_statistics,آزمائشوں کی ایک مقررہ تعداد ہے۔,دلچسپی کے بے ترتیب متغیر کی قدر پہلی کامیابی تک آزمائشوں کی تعداد ہے۔,ہر آزمائش آزاد ہے۔,ہر آزمائش کو یا تو کامیابی یا ناکامی سمجھا جاتا ہے۔,دو نامی ترتیب میں درج ذیل میں سے کس کی ضرورت نہیں ہے؟
3,high_school_statistics,2.021 پاؤنڈز,4.085 پاؤنڈ,5.290 پاؤنڈ,28.000 پاؤنڈ,ایک پبلشر کتابوں کی ترسیل کے لیے معیاری بکس استعمال کرتا تھا۔ فی باکس پیک کتابوں کا اوسط وزن 25 پاؤنڈ ہے، جس میں معیاری انحراف دو پاؤنڈ ہے۔ خانوں کا اوسط وزن ایک پاؤنڈ ہے، جس کا معیاری انحراف 0.15 پاؤنڈ ہے۔ فی باکس استعمال ہونے والے پیکنگ میٹریل کا اوسط وزن دو پاؤنڈ ہے، جس کا معیاری انحراف 0.25 پاؤنڈ ہے۔ پیک شدہ بکسوں کے وزن کا معیاری انحراف کیا ہے؟
1,high_school_statistics,نمونے کے تناسب کی تقسیم زیادہ قریب سے دو نامی تقسیم سے مشابہت رکھتی ہے۔,نمونے کے تناسب کی تقسیم کا پھیلاؤ غیر متاثر رہے گا۔,نمونے کے تناسب کی تقسیم کم پھیلے گی۔,نمونے کے تناسب کی تقسیم مزید پھیل جائے گی۔,سائنسدانوں کا ایک گروپ اگلے افزائش کے موسم کے لیے اسی جگہ پر واپس آنے والے گیز کے تناسب کا اندازہ لگانا چاہتا تھا۔ فرض کریں کہ انہوں نے نمونے کا سائز 200 سے بڑھا کر 2000 کرنے کا فیصلہ کیا۔ یہ نمونے کے تناسب کی تقسیم کو کیسے متاثر کرے گا؟
3,high_school_statistics,90.4%,64.0%,8.0%,2.4%,400 رجسٹرڈ ووٹرز کے ٹیلی فون سروے سے پتہ چلتا ہے کہ 256 نے الیکشن سے 1 ماہ قبل ابھی تک اپنا ذہن نہیں بنایا تھا۔ ہم کتنے یقین سے کہہ سکتے ہیں کہ اس وقت 60% اور 68% ووٹر ابھی تک غیر فیصلہ کن تھے۔
2,high_school_statistics,141 پاؤنڈ,94 پاؤنڈ,67 پاؤنڈ,47 پاؤنڈ,نیشنل فٹ بال لیگ میں کھلاڑیوں کا وزن، اوسطاً، تقریباً 47 پاؤنڈ کے معیاری انحراف کے ساتھ تقریباً 248 پاؤنڈ ہے۔ اگر چار کھلاڑیوں کو بے ترتیب طور پر منتخب کیا جانا ہے تو، بے ترتیب متغیر W کی متوقع قیمت، چار کھلاڑیوں کا کل مشترکہ وزن، 992 پاؤنڈ ہے۔ تقریباً Wis کا معیاری انحراف
0,high_school_statistics,اس تلاش کے حاصل کرنے کا امکان 0.20 ہے۔,امکان 0.20 ہے کہ ہماری تلاش اہم ہے۔,بار بار بے ترتیب نمونے لینے سے اکیلے اتفاق سے حاصل ہونے والے نتائج کے حاصل ہونے کا امکان 0.20 ہے۔,کم از کم اتنی شدید تلاش حاصل کرنے کا امکان جو کہ اکیلے اتفاق سے حاصل کیا گیا ہے اگر null مفروضہ درست ہے 0.20۔,"""ایک مفروضے کے ٹیسٹ سے P- ویلیو 0.20 حاصل ہوتی ہے۔"" مندرجہ ذیل میں سے کون بہتر بیان کرتا ہے کہ اس بیان سے کیا مراد ہے؟"
2,high_school_statistics,ہر سیل میں متوقع تعدد کم از کم 5 ہونا چاہیے، اور اس کو حاصل کرنے کے لیے، کبھی کبھی ایک یا دوسرے یا دونوں متغیر کے زمرے کو یکجا کرتا ہے۔,متوقع تعدد پورے نمبر ہونے چاہئیں۔,مشاہدہ شدہ تعدد پورے نمبر ہونے چاہئیں۔,زمرے کسی بھی متغیر کے لیے عددی نہیں ہیں۔,آزادی کے لیے chi-square ٹیسٹوں کے لیے ہنگامی جدولوں کے حوالے سے مندرجہ ذیل میں سے کون سا درست نہیں ہے؟
3,high_school_statistics,اس ہفتے اس کا وقت اس کے اوسط وقت سے دو معیاری انحراف کم تھا۔,اس ہفتے اس کا وقت اس کے اوسط وقت سے دو منٹ کم تھا۔,اس ہفتے اس کا وقت اس کے بہترین وقت سے دو منٹ کم تھا۔,اس ہفتے اس کا وقت پچھلے ہفتے کے وقت سے دو منٹ کم تھا۔,مشاہدہ شدہ اوقات (منٹ میں) ایک میراتھن کو مکمل کرنے میں ایک رنر کو عام طور پر تقسیم کیا جاتا ہے۔ اس ہفتے اس کے رننگ ٹائم کا زیڈ اسکور -2 ہے۔ مندرجہ ذیل میں سے کون سا بیان اس کے زیڈ سکور کی صحیح تشریح ہے؟
2,high_school_statistics,86.7%,82.9%,17.1%,13.3%,کسی خاص لاء اسکول میں درخواست دہندگان کے لیے اوسط لا اسکول اپٹیٹیوڈ ٹیسٹ (LSAT) اسکور 45 کے معیاری انحراف کے ساتھ 650 ہے۔ فرض کریں کہ صرف 700 سے اوپر کے اسکور والے درخواست دہندگان پر غور کیا جاتا ہے۔ زیر غور درخواست دہندگان میں سے کتنے فیصد کے اسکور 740 سے کم ہیں؟ (فرض کریں کہ اسکور عام طور پر تقسیم کیے جاتے ہیں۔)
2,high_school_statistics,چھتیس لوگوں نے میری اور پام دونوں سے زیادہ اسکور کیا۔,ٹیسٹ دینے والوں میں سے آٹھ فیصد نے پام اور میری کے درمیان اسکور کیا۔,مریم کا سکور پام کے مقابلے 8% زیادہ ہے۔,مریم نے پام سے آٹھ پوائنٹ زیادہ حاصل کیے۔,اسی ٹیسٹ میں، میری اور پام نے بالترتیب 64 ویں اور 56 ویں پرسنٹائل پر اسکور کیا۔ مندرجہ ذیل میں سے کون سا سچا بیان ہے؟
3,high_school_statistics,جو لوگ ڈپریشن سے بچنا چاہتے ہیں وہ روزانہ کی بنیاد پر سبز چائے پینے پر غور کریں۔,چونکہ یہ مشاہداتی ڈیٹا ہے، اس لیے سبز چائے پینے اور ڈپریشن کے کم واقعات کے درمیان تعلق کسی سببی تعلق کا اشارہ نہیں ہے۔,یہ ممکن ہے کہ جو لوگ سبز چائے پیتے ہیں وہ بھی زندگی کے بارے میں ان لوگوں کے مقابلے میں زیادہ مثبت نظریہ رکھتے ہیں جو نہیں پیتے ہیں۔,یہ ممکن ہے کہ جو لوگ سبز چائے پیتے ہیں وہ ان لوگوں کے مقابلے میں صحت مند طرز زندگی کے حامل ہوتے ہیں جو نہیں پیتے ہیں۔,"ایک تحقیق میں تقریباً 23,000 مریضوں کے میڈیکل ریکارڈ پر نظر ڈالی گئی، جن میں زیادہ تر ایشیا میں تھے۔ انھوں نے پایا کہ جو مریض روزانہ کم از کم تین کپ سبز چائے پیتے ہیں ان میں ڈپریشن کے واقعات بہت کم تھے۔ اس تحقیق کے بارے میں ایک امریکی اخبار کے مضمون میں درج ذیل میں سے کون سا بیان نہیں دیا جانا چاہیے؟"
3,high_school_statistics,یہ ایک سطحی نمونہ ہے، جو تقابلی معلومات دے سکتا ہے جو ایک سادہ بے ترتیب نمونہ نہیں دے گا۔,یہ منظم نمونے لینے کی ایک مثال ہے، جو ایک معقول نمونہ دیتی ہے جب تک کہ فہرست کی اصل ترتیب زیر غور متغیرات سے متعلق نہ ہو۔,یہ ایک جھرمٹ کا نمونہ ہے جس میں آبادی کو متفاوت گروہوں میں تقسیم کیا گیا تھا جنہیں کلسٹر کہتے ہیں۔,یہ ایک سادہ بے ترتیب نمونہ ہے جو پرنسپلوں کی پوری آبادی سے نمونے لینے کے طریقہ کار کے مقابلے میں آسان اور کم مہنگے انداز میں حاصل کیا گیا ہے۔,ایک محقق ایک مخصوص ریاست میں اسکول کے پرنسپلوں کے سروے کا منصوبہ بنا رہا ہے جس کے پاس 125 اسکولوں کے اضلاع میں سے ہر ایک میں ملازم اسکول پرنسپلوں کی فہرستیں ہیں۔ طریقہ کار یہ ہے کہ تمام اضلاع سے پرنسپل کا بے ترتیب نمونہ حاصل کیا جائے بجائے اس کے کہ تمام فہرستوں کو ایک ساتھ گروپ کیا جائے اور پورے گروپ سے نمونہ حاصل کیا جائے۔ مندرجہ ذیل میں سے کون سا نتیجہ درست ہے؟
2,high_school_statistics,ایک ایسا طریقہ کار جو تجرباتی گروپ کو دیا گیا ہے سوائے امتحان کے تحت علاج حاصل کرنے کے بے ترتیب فیصلے کے۔,ایک ایسا طریقہ کار جو تجرباتی گروپ کو دیا گیا ہے سوائے امتحان کے تحت علاج حاصل کرنے کے۔,تجرباتی گروپ کو یہ جانے بغیر کہ وہ علاج کر رہے ہیں وہی علاج دیا گیا۔,تجرباتی گروپ کے خلاف علاج۔,ایک تجربے میں، کنٹرول گروپ کو موصول ہونا چاہئے
3,high_school_statistics,کچھ فائدہ ہے۔ چونکہ اس نے 15 مشاہدات کی بجائے 35 مشاہدات لیے، اس لیے 35 مشاہدات کا استعمال کرتے ہوئے اعتماد کا وقفہ 15 مشاہدات کے استعمال سے کم ہوگا۔,کوئی فائدہ نہیں ہے۔ چونکہ اس نے 15 مشاہدات کی بجائے 35 مشاہدات لیے، اس لیے 35 مشاہدات کا استعمال کرتے ہوئے اعتماد کا وقفہ 15 مشاہدات کے استعمال سے زیادہ وسیع ہوگا۔,کوئی فائدہ نہیں ہے۔ درحقیقت، 20 اضافی مشاہدات غلطی کے امکانات کو بڑھا دیں گے۔,کوئی فائدہ نہیں ہے۔ چونکہ اوسط اور معیاری انحراف تقریباً ایک جیسے ہیں، اس لیے 35 مشاہدات کا استعمال کرتے ہوئے اعتماد کا وقفہ تقریباً وہی ہونا چاہیے جو 15 مشاہدات کا استعمال کرتے ہوئے شمار کیا جاتا ہے۔,ٹینا کا سائنس فیئر پروجیکٹ اس کے شہر کی پانی کی فراہمی میں کیمیکلز کی اوسط مقدار کا اندازہ لگانا تھا۔ سب سے پہلے، اس نے 15 مشاہدات کا بے ترتیب نمونہ استعمال کرنے کا فیصلہ کیا تھا۔ لیکن اس کے استاد نے اسے 35 مشاہدات لینے کو کہا۔ 35 مشاہدات سے اوسط اور معیاری انحراف تقریباً 15 مشاہدات کے برابر نکلا۔ کیا 15 مشاہدات کی بجائے 35 مشاہدات استعمال کرنے کا کوئی فائدہ ہے؟
