question,choices,subject,answer
آپ کے سامنے کے دروازے کو ایک مستطیل کے طور پر سمجھنے کی صلاحیت یہاں تک کہ جب یہ کھلا ہو، ایک مختلف ریٹنا تصویر کی نمائش کے طور پر جانا جاتا ہے,رنگ کی استحکام|بندش|شکل کی مستقل مزاجی|سائز کی استحکام,high_school_psychology,2
یہ تجویز کیا گیا ہے کہ سیکھی ہوئی بے بسی کا تعلق ہوسکتا ہے۔,اہم ڈپریشن کی خرابی.|پاگل پن|ذہن پر چھا جانے والا۔اضطراری عارضہ۔|پیرافیلیا,high_school_psychology,0
سام کے خون کے دھارے میں گلوکوز کی کم سطح اس کی خواہش پیدا کرنے کا زیادہ امکان ہے۔,خطرناک رویے میں مشغول.|ایک رومانوی دلچسپی کا پیچھا کریں.|کھانا کھاؤ|اپنے درجات کو بہتر بنانے کے لیے مطالعہ کریں۔,high_school_psychology,2
"ٹونیا سڑک پر ایک پرانے اسکول کے ساتھی سے مل جاتی ہے۔ اپنی مختصر گفتگو کے دوران، ٹونیا اپنے ساتھی کا نام یاد کرنے سے قاصر ہے۔ دنوں بعد، اسے نیلے رنگ کا نام یاد آیا۔ ""نیلے سے باہر"" نام کو یاد رکھنا ایک مثال ہے۔",زبان کی نوک کا رجحان|ٹکڑا|استخراجی استدلال|دلکش استدلال,high_school_psychology,0
متعدد تجربات میں، الزبتھ لوفٹس نے یہ ظاہر کیا ہے کہ کسی سوال کے الفاظ شرکاء کے کسی واقعے کی یاد کو متاثر کر سکتے ہیں۔ یہ مطالعہ بہترین وضاحت کرتے ہیں۔,میموری کی تعمیر نو کی نوعیت۔|سیریل پوزیشن اثر.|جس شرح سے لوگ معلومات کو بھول جاتے ہیں۔|یادداشت میں سیربیلم کا کردار۔,high_school_psychology,0
ذہنی عمل اور رویے کی سائنسی تحقیقات کہلاتی ہیں۔,حیاتیات|نفسیات|ادراک|سائنسی طریقہ کار,high_school_psychology,1
نوم چومسکی اور بی ایف سکنر نے اس بات پر اختلاف کیا کہ بچے زبان کیسے حاصل کرتے ہیں۔ مندرجہ ذیل تصورات میں سے کون سا ان کے نظریات کے درمیان فرق سے زیادہ متعلقہ ہے؟,فونیم|مورفیمز|لسانی رشتہ داری کا مفروضہ|زبان کے حصول کا آلہ,high_school_psychology,3
کس قسم کی تشخیص کسی فرد کے ماحول اور رویے کے پہلوؤں کے درمیان تعلق کی چھان بین کرکے، سب سے زیادہ دباؤ والے طرز عمل کے مسئلے کی نشاندہی کرنے کی کوشش کرتی ہے، اور اس کو کم کرنے کے ممکنہ طریقے؟,شخصیت|علمی|ماحولیاتی|نصاب پر مبنی,high_school_psychology,2
معدومیت اس وقت ہوتی ہے جب مشروط محرک,غیر مشروط محرک سے پہلے|غیر مشروط محرک کو کامیاب کرتا ہے۔|مشروط ردعمل کو جنم دیتا ہے۔|اب مشروط ردعمل کو جنم نہیں دیتا,high_school_psychology,3
Piaget اپنے علمی ترقی کے نظریہ سے اصطلاحات کا استعمال کرتے ہوئے کچھ نیا سیکھنے کے عمل کو کیسے بیان کرے گا؟,جب ہم نئی معلومات کو ضم نہیں کر سکتے ہیں، تو ہم رہائش کے ذریعے اپنے سکیموں کو تبدیل کرتے ہیں۔|جیسا کہ ہم نئے سماجی حالات کا سامنا کرتے ہیں، ہم سماجی تقاضوں سے نمٹنے کے لیے یا تو صحت مند یا غیر صحت مند شخصیت کی خصوصیات پیدا کرتے ہیں۔|انسانوں میں اخلاقی انتخاب کے بارے میں سوچنے کی بڑھتی ہوئی صلاحیتیں پیدا ہوتی ہیں، اور دوسروں کے حقوق کے بارے میں سوچنے کی ہماری صلاحیت وقت کے ساتھ ساتھ ترقی کرتی ہے۔|رویے کے لیے انعامات اور سزائیں انسانوں میں سیکھنے پر بڑا اثر ڈالتی ہیں۔,high_school_psychology,0
